"","pID","beta","gamma","value","x","prior","genpost","infbeta","infgamma","infvalue"
"1",10,0.9999999,12.7056810323194,0.02867974707088,0,0.00963790308052603,0,0.9999999,12.7056614256359,2.51531839658763e-15
"2",10,0.9999999,12.7056810323194,0.02867974707088,0.1,0.00963790308052603,3.31008242491306e-40,0.9999999,12.7056614256359,2.51531839658763e-15
"3",10,0.9999999,12.7056810323194,0.02867974707088,0.2,0.031345703476851,4.80032653900469e-25,0.9999999,12.7056614256359,2.51531839658763e-15
"4",10,0.9999999,12.7056810323194,0.02867974707088,0.3,0.00963790308052603,2.4081631042096e-17,0.9999999,12.7056614256359,2.51531839658763e-15
"5",10,0.9999999,12.7056810323194,0.02867974707088,0.4,0.00963790308052603,7.59990715556148e-12,0.9999999,12.7056614256359,2.51531839658763e-15
"6",10,0.9999999,12.7056810323194,0.02867974707088,0.5,0.00963790308052603,6.30939165726673e-08,0.9999999,12.7056614256359,2.51531839658763e-15
"7",10,0.9999999,12.7056810323194,0.02867974707088,0.6,0.0416141235813367,0.000169100261915646,0.9999999,12.7056614256359,2.51531839658763e-15
"8",10,0.9999999,12.7056810323194,0.02867974707088,0.7,0.0498108448928121,0.013219465787715,0.9999999,12.7056614256359,2.51531839658763e-15
"9",10,0.9999999,12.7056810323194,0.02867974707088,0.8,0.724373986669069,0.985830207847104,0.9999999,12.7056614256359,2.51531839658763e-15
"10",10,0.9999999,12.7056810323194,0.02867974707088,0.9,0.00963790308052603,0.00078116300174872,0.9999999,12.7056614256359,2.51531839658763e-15
"11",10,0.9999999,12.7056810323194,0.02867974707088,1,0.0950279228967753,0,0.9999999,12.7056614256359,2.51531839658763e-15
"12",105,1e-07,0.314413508370905,0.00567886892248716,0,0.00900819745968832,0,1e-07,0.31441415868294,4.92564263540853e-14
"13",105,1e-07,0.314413508370905,0.00567886892248716,0.1,0.0540491847581299,0.019868409722668,1e-07,0.31441415868294,4.92564263540853e-14
"14",105,1e-07,0.314413508370905,0.00567886892248716,0.2,0.0532384469867579,0.0457795638934715,1e-07,0.31441415868294,4.92564263540853e-14
"15",105,1e-07,0.314413508370905,0.00567886892248716,0.3,0.0717953337537159,0.0730970904597578,1e-07,0.31441415868294,4.92564263540853e-14
"16",105,1e-07,0.314413508370905,0.00567886892248716,0.4,0.0628772182686244,0.0999955831666601,1e-07,0.31441415868294,4.92564263540853e-14
"17",105,1e-07,0.314413508370905,0.00567886892248716,0.5,0.0932348437077741,0.125015668457329,1e-07,0.31441415868294,4.92564263540853e-14
"18",105,1e-07,0.314413508370905,0.00567886892248716,0.6,0.12485361679128,0.14658085776557,1e-07,0.31441415868294,4.92564263540853e-14
"19",105,1e-07,0.314413508370905,0.00567886892248716,0.7,0.156202143950995,0.16255141234255,1e-07,0.31441415868294,4.92564263540853e-14
"20",105,1e-07,0.314413508370905,0.00567886892248716,0.8,0.170615259886497,0.169261852452275,1e-07,0.31441415868294,4.92564263540853e-14
"21",105,1e-07,0.314413508370905,0.00567886892248716,0.9,0.195117556976849,0.157849561739718,1e-07,0.31441415868294,4.92564263540853e-14
"22",105,1e-07,0.314413508370905,0.00567886892248716,1,0.00900819745968832,0,1e-07,0.31441415868294,4.92564263540853e-14
"23",110,1e-07,1e-07,0.533706571710207,0,0.0309009009009009,0,1e-07,1e-07,0
"24",110,1e-07,1e-07,0.533706571710207,0.1,0.0735135135135135,0.111111061591857,1e-07,1e-07,0
"25",110,1e-07,1e-07,0.533706571710207,0.2,0.0116216216216216,0.111111083525126,1e-07,1e-07,0
"26",110,1e-07,1e-07,0.533706571710207,0.3,0.0502702702702703,0.111111104785836,1e-07,1e-07,0
"27",110,1e-07,1e-07,0.533706571710207,0.4,0.00900900900900901,0.111111110815877,1e-07,1e-07,0
"28",110,1e-07,1e-07,0.533706571710207,0.5,0.00900900900900901,0.111111118707573,1e-07,1e-07,0
"29",110,1e-07,1e-07,0.533706571710207,0.6,0.106306306306306,0.111111136223276,1e-07,1e-07,0
"30",110,1e-07,1e-07,0.533706571710207,0.7,0.00900900900900901,0.111111127986056,1e-07,1e-07,0
"31",110,1e-07,1e-07,0.533706571710207,0.8,0.00900900900900901,0.111111129415617,1e-07,1e-07,0
