"","pID","condition","e0","e10","e20","e30","e40","e50","e60","e70","e80","e90","e100","age","gender","botCheck","actuallyEstimated","gamma","delta","value"
"1","1","uniform",0.0294568056931808,0.0294568056931808,0.0294568056931808,0.0294568056931808,0.0294568056931808,0.0294568056931808,0.0294568056931808,0.0774704981533195,0.637149806323755,0.0497252499774795,0.0294568056931808,25,"nb",1,1,9.67584014238248,9.07413419958639,0.0243397361794152
"2","10","uniform",0.0106325464047576,0.00901063254640476,0.00973148315011714,0.0325283834925212,0.0325283834925212,0.145431609298973,0.285456839070103,0.377094972067039,0.0325283834925212,0.0325283834925212,0.0325283834925212,22,"female",1,1,3.50467610040149,7.5129036016677,0.0146760681602998
"3","11","uniform",0.00900900900900901,0.0481081081081081,0.00900900900900901,0.0674774774774775,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.635135135135135,0.108288288288288,0.0869369369369369,0.00900900900900901,25,"female",1,1,12.5566815578314,19.8111435929516,0.035091421932851
"4","117","uniform",0.0928011532570502,0.00900982070456798,0.00900982070456798,0.0567618704387783,0.00900982070456798,0.00900982070456798,0.00900982070456798,0.220560410847824,0.344715740156771,0.231101901072169,0.00900982070456798,19,"male",1,1,2.79795949809903,2.4514844925729,0.0215802942565933
"5","118","uniform",0.0495495495495496,0.0495495495495496,0.457027027027027,0.097027027027027,0.0495495495495496,0.0495495495495496,0.0495495495495496,0.0495495495495496,0.0495495495495496,0.0495495495495496,0.0495495495495496,20,"male",1,1,1.36166598408421,22.2172596295404,0.0617687769794935
"6","119","uniform",0.0108989371284453,0.0110790848495767,0.0103584939650513,0.011529454152405,0.0111691587101423,0.0201765447667087,0.0581877139254188,0.109529814447847,0.640695370203567,0.096198883084129,0.0201765447667087,27,"male",1,1,9.01253113209605,8.37463857021123,0.011260862771338
"7","12","uniform",0.0189189189189189,0.0189189189189189,0.0189189189189189,0.0189189189189189,0.0189189189189189,0.0189189189189189,0.0189189189189189,0.0189189189189189,0.808468468468469,0.0189189189189189,0.0212612612612613,19,"female",1,1,15.3457843965494,14.050094078175,0.0107881484345178
"8","120","uniform",0.0863140823497612,0.120371204613028,0.0700063068744932,0.0969456707811515,0.116046490674836,0.0910892873231823,0.126768177313272,0.0575727543021894,0.104243625551852,0.0558608883683215,0.0747815118479142,42,"male",1,1,0.0155309558833617,0.209789253267954,0.0204375022321818
"9","121","uniform",0.00900819745968832,0.0204486082334925,0.00900819745968832,0.00900819745968832,0.00900819745968832,0.161877308350599,0.15953517701108,0.15665255382398,0.339248716331862,0.117196648950545,0.00900819745968832,21,"male",1,1,1.2457527769278,1.51514713961239,0.0224561332063422
"10","123","uniform",0.025045045045045,0.0338738738738739,0.0462162162162162,0.0630630630630631,0.084054054054054,0.104954954954955,0.112342342342342,0.14963963963964,0.212432432432432,0.15036036036036,0.018018018018018,26,"male",1,1,0.279158754002439,0.154828061482673,0.00456485254256587
"11","124","uniform",0.0106306306306306,0.0211711711711712,0.0211711711711712,0.0211711711711712,0.0211711711711712,0.0441441441441441,0.0924324324324324,0.227207207207207,0.291261261261261,0.24027027027027,0.00936936936936937,28,"male",1,1,1.53419488028222,1.30283224686176,0.00339607099578016
"12","125","uniform",0.00900819745968832,0.0180163949193766,0.0270245923790649,0.0330600846770561,0.0403567246194037,0.0934150076569678,0.150797225475182,0.194847311053058,0.230790018917215,0.193676245383299,0.00900819745968832,24,"male",1,1,0.747253902039856,0.678048414992371,0.00156437345681187
"13","127","uniform",0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.036036036036036,0.20981981981982,0.682072072072072,0.00900900900900901,0.00900900900900901,19,"male",1,1,10.5446798709352,11.2435702018341,0.00401379534153598
"14","13","uniform",0.0141415961088092,0.0141415961088092,0.0141415961088092,0.256800576472708,0.0141415961088092,0.0141415961088092,0.0413439019996397,0.0141415961088092,0.40362096919474,0.0141415961088092,0.199243379571248,18,"female",1,1,0.136536695054095,0.0669610552878918,0.199397324392607
"15","130","uniform",0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.0963963963963964,0.245135135135135,0.306486486486486,0.177477477477477,0.12045045045045,21,"male",1,1,2.10833324267357,2.16008611194585,0.0197828276734996
"16","131","uniform",0.0841441441441441,0.0823423423423423,0.0393693693693694,0.0841441441441441,0.0393693693693694,0.0716216216216216,0.0393693693693694,0.0413513513513514,0.454144144144144,0.0413513513513514,0.0227927927927928,28,"male",1,1,6.21082600806677,5.8465302709304,0.0953183151644785
"17","133","uniform",0.0093702135327507,0.0113523740877557,0.0106315884313902,0.0100009009820705,0.00955040994684206,0.0782052437156501,0.249301738895396,0.306333903955311,0.23002072258762,0.0755923957113253,0.00964050815388774,23,"male",1,1,2.11318062740818,3.41065716956244,0.00256890030794178
"18","134","uniform",0.0754954954954955,0.167567567567568,0.0976576576576576,0.10954954954955,0.0635135135135135,0.0362162162162162,0.0447747747747748,0.0618018018018018,0.197657657657658,0.0959459459459459,0.0498198198198198,30,"male",1,1,1e-07,1e-07,0.0339793389171851
"19","135","uniform",0.0941441441441442,0.0886486486486487,0.0535135135135135,0.021981981981982,0.021981981981982,0.0712612612612613,0.0906306306306306,0.455405405405405,0.021981981981982,0.033963963963964,0.0464864864864865,60,"male",1,1,6.82851646308376,11.9880728092286,0.0830441652543579
"20","136","uniform",0.00973060636093342,0.0284710334264348,0.0395531128930534,0.0498243084962609,0.0678439499053969,0.0707270925308586,0.118389044058023,0.183890440580232,0.242003784124696,0.179385530227948,0.0101810973961618,19,"male",1,1,0.552229451327766,0.409977381364975,0.0055256633675705
"21","137","uniform",0.101774295235522,0.115734486174908,0.131225794830226,0.0724128613888138,0.128613888138341,0.0481851751778798,0.0799783842204809,0.0708817436728812,0.094569035395839,0.0857425920922273,0.0708817436728812,44,"male",1,1,1e-07,0.135350578092823,0.0243034230194594
"22","139","uniform",0.0690027925412125,0.0690027925412125,0.0692730384650031,0.0682821367444374,0.0753986127375912,0.109809927033601,0.113683451941267,0.125123862715071,0.155391406179623,0.12224123952797,0.0227907395730114,21,"male",1,1,0.100886197974953,1e-07,0.0081119895921487
