"","condition","fitted","beta","gamma","delta","value"
"1","estimated","all",1e-07,0.549132218630425,0.716645571087278,0.0223213858261323
"2","estimated","two",1e-07,0.413748503683102,NA,0.0232143945041581
"3","estimated","beta",0.438812298326667,NA,NA,0.027240359327902
"4","estimated","gamma",NA,1.28660581809676,NA,0.0319178609912085
"5","given","all",1e-07,0.38798939976228,0.834059328795195,0.00680336220498992
"6","given","two",0.29636660725863,0.218913227734218,NA,0.00851633341626317
"7","given","beta",0.79908394337606,NA,NA,0.0245936039308563
"8","given","gamma",NA,0.404001049845475,NA,0.020512357547977
