"","condition","fitted","beta","gamma","delta","value"
"1","peaked","all",0.565946758875498,0.293128613048142,1e-07,0.00372448445391079
"2","peaked","two",0.662009756039696,0.222324010764164,NA,0.00610919648219069
"3","peaked","beta",0.429250375458509,NA,NA,0.00750042740970136
"4","peaked","gamma",NA,1e-07,NA,0.0180548077486377
"5","uniform","all",NA,0.827473352963639,0.995592265739897,0.0259870883955114
"6","uniform","two",NA,0.620703447894392,NA,0.0269292079731456
