"","condition","fitted","beta","gamma","delta","value"
"1","estimated","all",1e-07,0.59896785505366,0.747370937598966,0.0143619417941548
"2","estimated","two",1e-07,0.478534858413559,NA,0.015068619453794
"3","estimated","beta",0.424487779968708,NA,NA,0.0178393681534767
"4","estimated","gamma",NA,1.32014385917481,NA,0.0225049951604853
"5","given","all",0.10531715032165,0.328261659676263,0.63415988358616,0.00621299072979015
"6","given","two",0.317434724622447,0.21557466823379,NA,0.00694924708992999
"7","given","beta",0.806632112072184,NA,NA,0.0250635158290313
"8","given","gamma",NA,0.324202709904406,NA,0.018430777454424
