"","pID","condition","section","seenRed","seenBlue","e0","e10","e20","e30","e40","e50","e60","e70","e80","e90","e100","age","gender","botCheck","time","chipsOrder","actuallyEstimated","beta","gamma","delta","value"
"1","1","given","posterior",4,1,0.00936683779158786,0.00936683779158786,0.00936683779158786,0.00936683779158786,0.0240475547149419,0.0634062865892101,0.210483653066739,0.266504548320274,0.379356930559308,0.00936683779158786,0.00936683779158786,28,"female",1,202.12,22221,1,1e-07,2.80081553497579,3.84140484502403,0.0160646238891701
"2","101","given","posterior",4,1,0.0303603603603604,0.0412612612612613,0.277117117117117,0.0755855855855856,0.0509009009009009,0.122162162162162,0.0330630630630631,0.119459459459459,0.0632432432432432,0.112612612612613,0.0742342342342342,25,"female",1,438.44,21222,1,1e-07,1e-07,0.130053324582462,0.0516514383135759
"3","102","given","posterior",4,1,0.0118018018018018,0.118468468468468,0.017027027027027,0.104504504504504,0.0854954954954955,0.133423423423423,0.355855855855856,0.0508108108108108,0.0488288288288288,0.0547747747747748,0.019009009009009,31,"female",1,109.88,22212,1,1e-07,0.957145455521264,3.01517340783442,0.0620976906916048
"4","103","given","posterior",4,1,0.0110810810810811,0.0218018018018018,0.0494594594594595,0.0875675675675676,0.117387387387387,0.246126126126126,0.227297297297297,0.157837837837838,0.0555855855855856,0.0153153153153153,0.0105405405405405,21,"female",1,281.88,21222,1,0.308924222096421,0.793711782125603,2.38993998264038,0.00346438157657198
"5","106","given","posterior",4,1,0.0635978740653995,0.00900819745968832,0.0390054950004504,0.0428790199081164,0.110620664804973,0.144851815151788,0.147734438338888,0.166651653004234,0.179443293396991,0.0403567246194037,0.0558508242500676,24,"male",1,116.02,22122,1,1e-07,0.574813003933917,1.21048887603882,0.0127925830707279
"6","107","given","posterior",4,1,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.113963963963964,0.409009009009009,0.00900900900900901,0.00900900900900901,0.404954954954955,0.00900900900900901,0.00900900900900901,18,"male",1,154.72,21222,1,0.9999999,0.28222925681505,0.154000585304736,0.178056208389834
"7","108","given","posterior",4,1,0.00936852535807585,0.0199981983605081,0.0406269705431943,0.0607152508782993,0.0895414827493018,0.124763534816683,0.145932798846951,0.17079542383569,0.186019277542564,0.140437798396541,0.0118007386721917,21,"male",1,632.68,22212,1,1e-07,0.404912926236227,0.489898001165581,0.000743236248346932
"8","109","given","posterior",4,1,0.0200018019641409,0.0200018019641409,0.0204522929993693,0.0200018019641409,0.0200018019641409,0.457248400756825,0.362284890530678,0.0200018019641409,0.0200018019641409,0.0200018019641409,0.0200018019641409,21,"female",1,307.85,22122,1,0.523492867441934,5.99571816363154,19.1543540210224,0.00760438107654207
"9","11","given","posterior",4,1,0.0263963963963964,0.0446846846846847,0.0690990990990991,0.106576576576577,0.15,0.214234234234234,0.147297297297297,0.104234234234234,0.0684684684684685,0.0418018018018018,0.0272072072072072,22,"female",1,161.23,12222,1,0.672434939035432,0.126918380234563,0.529402917147875,0.00188350266309598
"10","111","given","posterior",4,1,0.122331321502567,0.116205747229979,0.0552202504278894,0.0354022160165751,0.016214755427439,0.016214755427439,0.0796324655436447,0.016214755427439,0.355913881632285,0.093324925682371,0.093324925682371,21,"female",1,132.85,12222,1,1e-07,1.31533756137064,1.23988116850916,0.117978948851161
"11","113","given","posterior",4,1,0.00963963963963964,0.0333333333333333,0.0473873873873874,0.117657657657658,0.0843243243243243,0.144144144144144,0.117657657657658,0.105765765765766,0.207297297297297,0.123243243243243,0.00954954954954955,23,"male",1,138.12,22221,1,1e-07,0.211056437519885,0.217510131015576,0.00804417437446915
"12","119","given","posterior",4,1,0.00900900900900901,0.0898198198198198,0.386666666666667,0.233243243243243,0.227207207207207,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,44,"female",1,602.96,12222,1,1e-07,0.798129903441815,10.359777381053,0.0163927343940712
"13","120","given","posterior",4,1,0.00900819745968832,0.00900819745968832,0.00900819745968832,0.00900819745968832,0.0753085307629943,0.137104765336456,0.302495270696334,0.272588055130168,0.132150256733628,0.0279254121250338,0.0163949193766327,21,"male",1,154.12,22221,1,9.99999999473644e-08,1.99616578066254,4.29659571471904,0.00287381233547761
"14","122","given","posterior",4,1,0.0117117117117117,0.039009009009009,0.0536036036036036,0.0725225225225225,0.124324324324324,0.171801801801802,0.243963963963964,0.183153153153153,0.0532432432432432,0.0369369369369369,0.00972972972972973,20,"female",1,154.47,22122,1,1e-07,0.867957402730923,2.54819867887771,0.00721498823642573
"15","126","given","posterior",4,1,0.00963963963963964,0.0456756756756757,0.0827027027027027,0.101981981981982,0.101981981981982,0.142342342342342,0.185945945945946,0.0947747747747748,0.101981981981982,0.107927927927928,0.025045045045045,25,"female",1,343.13,22122,1,0.22161212361623,0.12528852993238,0.214168775601735,0.00528516529300184
"16","129","given","posterior",4,1,0.0105386416861827,0.022518465141416,0.0448567825617006,0.0741307872455413,0.0998018375067555,0.124301927580616,0.159430733201225,0.18176905062151,0.162763466042155,0.109349666726716,0.0105386416861827,24,"female",1,467.36,22122,1,1e-07,0.423642835310232,0.712835150991573,0.000897231278104893
"17","13","given","posterior",4,1,0.0105376925155363,0.0105376925155363,0.0105376925155363,0.0105376925155363,0.0105376925155363,0.270197243988111,0.0105376925155363,0.41205079708187,0.233450418805728,0.0105376925155363,0.0105376925155363,25,"female",1,300.67,21222,1,0.9999999,2.35050206035733,2.82851747035963,0.0787878305892534
"18","133","given","posterior",4,1,0.00927844338347896,0.00954868930726962,0.0510764795964328,0.0510764795964328,0.0720655796775065,0.202504278893793,0.242500675614809,0.175749932438519,0.0990000900819746,0.0361228718133501,0.0510764795964328,24,"female",1,141.47,12222,1,0.225607139880756,0.940568479665006,2.20134169648449,0.00825553985019278
"19","134","given","posterior",4,1,0.0116205747229979,0.103774434735609,0.118908206467886,0.054769840554905,0.366003062787136,0.189352310602648,0.0551301684532925,0.0337807404738312,0.0110800828754166,0.0445004954508603,0.0110800828754166,37,"female",1,213.68,22212,1,0.560552721548241,0.368215509055027,3.21968961056444,0.052119403432956
"20","137","given","posterior",4,1,0.0112602468246104,0.00945860733267273,0.0114404107738042,0.00990901720565715,0.123502387172327,0.126925502207008,0.542293487073237,0.102963696964237,0.0423385280605351,0.0104495090532384,0.00945860733267273,19,"male",1,135.07,21222,1,1e-07,7.79249423177675,20.8830274198453,0.0314816256105992
"21","138","given","posterior",4,1,0.0154968916118569,0.0154968916118569,0.0418055680691954,0.0512658798089918,0.0154968916118569,0.0318947652941706,0.2763312010091,0.0154968916118569,0.0566717722317326,0.453824668889089,0.0262185782502928,21,"female",1,172.87,21222,1,0.168392529902499,0.917758992781601,1e-07,0.104616994888987
