"","section","fitted","beta","gamma","delta","value"
"1","unlimited","all",1e-07,0.935175155541529,0.934290301282972,0.020676289934578
"2","unlimited","two",1e-07,0.934509447327468,NA,0.020676758327268
"3","unlimited","beta",1e-07,NA,NA,0.0208969230988724
"4","unlimited","gamma",NA,1.34583696977448,NA,0.0469730574047916
"5","five","all",1e-07,0.909660279723179,1.14887481390993,0.0131218588192769
"6","five","two",0.0520650757010349,0.756877818396875,NA,0.0151312150858839
"7","five","beta",0.172222353789596,NA,NA,0.0155164881798482
"8","five","gamma",NA,1.9197896644374,NA,0.0312550402470569
