"","pID","condition","e0","e10","e20","e30","e40","e50","e60","e70","e80","e90","e100","age","gender","botCheck","actuallyEstimated"
"47","211","peaked",0.01,0.01,0.01,0.01,0.0124,0.01,0.0109,0.01,0.8967,0.01,0.01,28,"male",1,1
"48","212","peaked",0,0,0,0,0,0,0.3832,0.4935,0.1233,0,0,18,"male",1,1
"49","213","peaked",0.0074,0.0074,0.0074,0.0074,0.0074,0.0658,0.137,0.1939,0.465,0.0977,0.0033,28,"male",1,1
"50","214","peaked",0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.7984,0.1849,0.0019,19,"male",1,1
"51","215","peaked",0.003,0.0021,0.0032,0.0036,0.0014,0.0369,0.294,0.3943,0.1933,0.0669,0.0014,22,"male",1,1
"52","216","peaked",0.0144,0.0144,0.0144,0.0144,0.0032,0.028,0.3507,0.3323,0.1992,0.0144,0.0144,23,"male",1,1
"53","217","peaked",4e-04,0.0025,0.0025,0.0033,0.014,0.0436,0.0905,0.1453,0.5923,0.105,8e-04,21,"male",1,1
"54","218","peaked",0.0049,0.0044,0.001,0.0019,0.0033,0.0255,0.0555,0.0527,0.7966,0.0536,6e-04,18,"male",1,1
"55","219","peaked",0,0,0,0.1901,0,0,0.4303,0.3687,0.011,0,0,28,"male",1,1
"56","220","peaked",0,0,0,0,0,0,0.1017,0.191,0.6086,0.0987,0,19,"male",1,1
"57","221","peaked",0,0,0,0,0,0.0583,0.0645,0.1885,0.4949,0.1938,0,18,"male",1,1
"58","222","peaked",0.0035,0.0035,0.0035,0.2699,0.0035,0.0035,0.0035,0.6985,0.0035,0.0035,0.0035,18,"male",1,1
"59","223","peaked",0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0521,0.1152,0.7012,0.1233,0,18,"male",1,1
"60","224","peaked",0.003,0.003,0.001,8e-04,5e-04,0.0028,7e-04,0.2014,0.5746,0.205,0.0073,35,"male",1,1
"61","225","peaked",0.001,0.0032,0.0025,0,0.0011,0.0467,0.06,0.0637,0.6971,0.117,0.0078,23,"male",1,1
"62","226","peaked",0,0,0,0,0,0.0864,0.1241,0.1601,0.5727,0.0567,0,29,"male",1,1
"63","227","peaked",0,0,0,0,0,0,0.4035,0.5965,0,0,0,19,"male",1,1
"64","229","peaked",0,0,0,0,0,0,0.0767,0.1275,0.6507,0.1452,0,24,"male",1,1
"65","230","peaked",0,0,0.0413,0.0747,0.0975,0.14,0.3843,0.2623,0,0,0,20,"male",1,1
"66","231","peaked",0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0955,0.8035,0.0175,30,"male",1,1
"67","232","peaked",0,0,0,0,0,0,0.0144,0.1352,0.7973,0.0531,0,20,"male",1,1
"68","234","peaked",0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0685,0.1352,0.7103,0.0744,0.0017,20,"male",1,1
"69","236","peaked",0,0,0,0,0.0044,0.012,0.1002,0.2276,0.5179,0.1378,0,22,"male",1,1
"70","237","peaked",0,0,0,0,0,0,0.0674,0.0985,0.7908,0.0433,0,20,"male",1,1
"71","238","peaked",0,0,0,0,0,0,0.0223,0.6886,0.2891,0,0,18,"male",1,1
"72","240","peaked",0.0315,0.0336,0.0241,0.03,0.0282,0.0323,0.0309,0.0311,0.0305,0.0247,0.7031,20,"male",1,1
"73","241","peaked",0,0,0,0,0,0,0,0.79,0,0.21,0,33,"male",1,1
"74","242","peaked",0.0129,0.0129,0.0129,0.0129,0.0129,0.0129,0.0129,0.0542,0.7928,0.0495,0.0129,20,"male",1,1
"75","243","peaked",3e-04,3e-04,3e-04,0.1501,0.1509,0.1528,0.1513,0.3929,3e-04,3e-04,3e-04,20,"male",1,1
"76","244","peaked",0.002,0.002,0.002,0.002,0.002,0.1819,0.002,0.2326,0.5695,0.002,0.002,21,"male",1,1
"77","245","peaked",8e-04,8e-04,8e-04,8e-04,8e-04,8e-04,8e-04,0.0966,0.7957,0.1011,7e-04,19,"male",1,1
"78","246","peaked",0.0017,0,0.0378,0,0.0559,0,0,0.0258,0.794,0.0393,0.0454,26,"male",1,1
"79","247","peaked",0.0028,0.01,0.025,0.0395,0.0587,0.0946,0.1454,0.1891,0.243,0.1918,0,19,"male",1,1
"80","248","peaked",0,0,0,0.0367,0.0273,0.0647,0.5978,0.215,0.0585,0,0,20,"male",1,1
"81","249","peaked",0,0,0,0,0,0,0.0942,0.2067,0.6395,0.0567,0.003,22,"male",1,1
"82","251","peaked",0,0,0,0,0,0.0444,0.1232,0.3457,0.392,0.0947,0,18,"male",1,1
"83","253","peaked",0,0,0.01,0.0467,0.0612,0.0633,0.1766,0.3089,0.28,0.0533,0,27,"male",1,1
"84","254","peaked",0.0707,0.1417,0.043,0.024,0.1417,0.0915,0.0413,0.2765,0.004,0.0413,0.1243,23,"male",1,1
"85","255","peaked",0.0244,0.0244,0.0244,0.0244,0.0244,0.0244,0.0244,0.0244,0.0054,0.7753,0.0244,18,"male",1,1
"86","256","peaked",0.0293,0.0293,0.0293,0.0293,0.038,0.0293,0.0293,0.698,0.0293,0.0293,0.0293,28,"male",1,1
"87","257","peaked",0.0784,0.0243,0.2548,0.1629,0.0301,0.0222,0.0741,0.0636,0.088,0.1664,0.0352,19,"male",1,1
"88","258","peaked",0.004,0.004,0.004,0.01,0.0233,0.0367,0.1201,0.2146,0.5066,0.0767,0,20,"male",1,1
"89","259","peaked",0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.2978,0.6872,0.0017,0.0017,23,"male",1,1
"90","261","peaked",0,1e-04,0,0,0.0025,0,0,0.9974,0,0,0,22,"male",1,1
"91","262","peaked",0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,0.21,0.5449,0.2095,0.0044,30,"male",1,1
"92","263","peaked",0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0977,0.0999,0.7005,0.0941,0.0011,18,"male",1,1
"93","264","peaked",0.0187,0.005,0.0465,0.005,0.0589,0.005,0.005,0.005,0.7948,0.0512,0.005,34,"male",1,1
"94","266","peaked",0.0146,0.0146,0.0199,0.034,0.0467,0.0533,0.1019,0.1705,0.2067,0.3366,0.0013,21,"male",1,1
"95","267","peaked",0.0012,0.0054,0.0027,6e-04,0.0014,0.0823,0.1001,0.1346,0.5947,0.0763,7e-04,30,"male",1,1
"96","268","peaked",0.1185,0.1006,0.0786,0.1405,0.1126,0.0906,0.0826,0.0607,0.0527,0.1476,0.015,23,"male",1,1
"97","269","peaked",0.0037,0.0037,0.0037,0.0037,0.0037,0.0037,0.0037,0.0759,0.7007,0.1941,0.0037,21,"male",1,1
"98","270","peaked",0,0.0043,0.0231,0.0384,0.0468,0.08,0.0813,0.1422,0.163,0.1908,0.2301,21,"male",1,1
"99","271","peaked",0.0787,0.0787,0.0787,0.0953,0.0817,0.0787,0.0787,0.0787,0.1937,0.0787,0.0787,37,"male",1,1
"100","272","peaked",0.0019,4e-04,0,0.0012,0,0,0.0883,0.1957,0.4168,0.2937,0.0019,18,"male",1,1
"101","273","peaked",0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.1433,0.697,0.1441,0.0045,32,"male",1,1
"102","274","peaked",0.002,1e-04,0.0031,7e-04,0.0012,0.0026,0.0309,0.0942,0.7356,0.097,0.0326,22,"male",1,1
"103","275","peaked",0,0,0,0,0,0,0.1168,0.1177,0.582,0.1835,0,20,"male",1,1
"104","276","peaked",0.0034,0.0034,0.1833,0.0034,0,6e-04,0.0106,0.0014,0.785,0.0034,0.0054,25,"male",1,1
"105","277","peaked",0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.1,0.6737,0.1863,0.005,20,"male",1,1
"106","278","peaked",0,0.01,0.023,0.0315,0.0448,0.069,0.079,0.109,0.5742,0.0596,0,18,"male",1,1
"107","280","peaked",0.001,3e-04,0.0031,0.0026,0.0022,9e-04,0.1122,0.2417,0.538,0.0977,2e-04,23,"male",1,1
"108","281","peaked",3e-04,3e-04,3e-04,3e-04,3e-04,3e-04,3e-04,0.199,0.798,3e-04,3e-04,30,"male",1,1
"109","286","peaked",0.0713,0.0186,0.017,0.0159,0.0442,0.0242,0.0147,0.0248,0.737,0.0176,0.0147,20,"male",1,1
"110","287","peaked",0,0,0,0,0,0.0546,0.0633,0.146,0.6804,0.0557,0,18,"male",1,1
"111","288","peaked",0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.1422,0.707,0.1362,4e-04,20,"male",1,1
"112","289","peaked",0.0033,0.0033,0.0033,0.0033,0.0033,0.0053,0.1596,0.7923,0.0227,0,0.0033,21,"male",1,1
"113","290","peaked",0.02,0.02,0.02,0.0206,0.02,0.02,0.02,0.02,0.7994,0.02,0.02,19,"male",1,1
"114","292","peaked",0.0037,0.0068,0,0,0,0.0391,0.0561,0.0191,0.7971,0.0345,0.0437,18,"male",1,1
"115","293","peaked",0.0418,0.0403,0.0403,0.0403,0.0403,0.0403,0.0403,0.5952,0.0403,0.0403,0.0403,21,"male",1,1
"116","294","peaked",0,0.02,0.0233,0.0267,0.0367,0.0633,0.1033,0.147,0.5723,0.0073,0,20,"male",1,1
"117","296","peaked",0,0,0,0,0,0,0,0.5099,0.4441,0.0459,0,42,"male",1,1
"118","297","peaked",0.0216,0.0216,0.0738,0.0546,0.0562,0.0216,0.0216,0.0466,0.4993,0.1013,0.0818,30,"male",1,1
"119","298","peaked",0.0024,8e-04,0.0028,0.0022,0.0027,2e-04,0.0017,0.1741,0.6351,0.1779,2e-04,18,"male",1,1
"120","299","peaked",0,0,0,0,0,0.0165,0.0579,0.2481,0.4794,0.198,0,43,"male",1,1
"121","300","peaked",0,0,0,0,0,0,0,0,0.99,0.01,0,25,"male",1,1
