"","pID","beta","gamma","value","x","prior","genpost","infbeta","infgamma","infvalue"
"1",1,0.9999999,3.02990824015852,0.0263159312973075,0,0.00936683779158786,0,0.9999999,3.02990782683492,6.51211252564073e-16
"2",1,0.9999999,3.02990824015852,0.0263159312973075,0.1,0.00936683779158786,1.63192699841404e-11,0.9999999,3.02990782683492,6.51211252564073e-16
"3",1,0.9999999,3.02990824015852,0.0263159312973075,0.2,0.00936683779158786,5.0826047233166e-08,0.9999999,3.02990782683492,6.51211252564073e-16
"4",1,0.9999999,3.02990824015852,0.0263159312973075,0.3,0.00936683779158786,4.61888856953688e-06,0.9999999,3.02990782683492,6.51211252564073e-16
"5",1,0.9999999,3.02990824015852,0.0263159312973075,0.4,0.0240475547149419,0.000242875747638851,0.9999999,3.02990782683492,6.51211252564073e-16
"6",1,0.9999999,3.02990824015852,0.0263159312973075,0.5,0.0634062865892101,0.00550867720284487,0.9999999,3.02990782683492,6.51211252564073e-16
"7",1,0.9999999,3.02990824015852,0.0263159312973075,0.6,0.210483653066739,0.0847525017288002,0.9999999,3.02990782683492,6.51211252564073e-16
"8",1,0.9999999,3.02990824015852,0.0263159312973075,0.7,0.266504548320274,0.290707600229173,0.9999999,3.02990782683492,6.51211252564073e-16
"9",1,0.9999999,3.02990824015852,0.0263159312973075,0.8,0.379356930559308,0.611083467393003,0.9999999,3.02990782683492,6.51211252564073e-16
"10",1,0.9999999,3.02990824015852,0.0263159312973075,0.9,0.00936683779158786,0.00770020796760383,0.9999999,3.02990782683492,6.51211252564073e-16
"11",1,0.9999999,3.02990824015852,0.0263159312973075,1,0.00936683779158786,0,0.9999999,3.02990782683492,6.51211252564073e-16
"12",101,1e-07,1e-07,0.05233371195455,0,0.0303603603603604,0,1e-07,1e-07,0
"13",101,1e-07,1e-07,0.05233371195455,0.1,0.0412612612612613,0.111111049384322,1e-07,1e-07,0
"14",101,1e-07,1e-07,0.05233371195455,0.2,0.277117117117117,0.111111107708971,1e-07,1e-07,0
"15",101,1e-07,1e-07,0.05233371195455,0.3,0.0755855855855856,0.111111099614331,1e-07,1e-07,0
"16",101,1e-07,1e-07,0.05233371195455,0.4,0.0509009009009009,0.111111107670398,1e-07,1e-07,0
"17",101,1e-07,1e-07,0.05233371195455,0.5,0.122162162162162,0.111111124271805,1e-07,1e-07,0
"18",101,1e-07,1e-07,0.05233371195455,0.6,0.0330630630630631,0.111111119005722,1e-07,1e-07,0
"19",101,1e-07,1e-07,0.05233371195455,0.7,0.119459459459459,0.111111133219957,1e-07,1e-07,0
"20",101,1e-07,1e-07,0.05233371195455,0.8,0.0632432432432432,0.111111127778646,1e-07,1e-07,0
"21",101,1e-07,1e-07,0.05233371195455,0.9,0.112612612612613,0.111111131345847,1e-07,1e-07,0
"22",101,1e-07,1e-07,0.05233371195455,1,0.0742342342342342,0,1e-07,1e-07,0
"23",102,0.662048764251997,0.0422382329768123,0.0672888362779742,0,0.0118018018018018,0,0.662047521773528,0.0422400076031415,1.16379279936952e-12
"24",102,0.662048764251997,0.0422382329768123,0.0672888362779742,0.1,0.118468468468468,0.0955539207734387,0.662047521773528,0.0422400076031415,1.16379279936952e-12
"25",102,0.662048764251997,0.0422382329768123,0.0672888362779742,0.2,0.017027027027027,0.0411252551142113,0.662047521773528,0.0422400076031415,1.16379279936952e-12
"26",102,0.662048764251997,0.0422382329768123,0.0672888362779742,0.3,0.104504504504504,0.104187464141274,0.662047521773528,0.0422400076031415,1.16379279936952e-12
"27",102,0.662048764251997,0.0422382329768123,0.0672888362779742,0.4,0.0854954954954955,0.0949787928848807,0.662047521773528,0.0422400076031415,1.16379279936952e-12
"28",102,0.662048764251997,0.0422382329768123,0.0672888362779742,0.5,0.133423423423423,0.133434057313,0.662047521773528,0.0422400076031415,1.16379279936952e-12
"29",102,0.662048764251997,0.0422382329768123,0.0672888362779742,0.6,0.355855855855856,0.304929739557035,0.662047521773528,0.0422400076031415,1.16379279936952e-12
"30",102,0.662048764251997,0.0422382329768123,0.0672888362779742,0.7,0.0508108108108108,0.0747248350916421,0.662047521773528,0.0422400076031415,1.16379279936952e-12
"31",102,0.662048764251997,0.0422382329768123,0.0672888362779742,0.8,0.0488288288288288,0.0736002855447944,0.662047521773528,0.0422400076031415,1.16379279936952e-12
"32",102,0.662048764251997,0.0422382329768123,0.0672888362779742,0.9,0.0547747747747748,0.0774656495797235,0.662047521773528,0.0422400076031415,1.16379279936952e-12
"33",102,0.662048764251997,0.0422382329768123,0.0672888362779742,1,0.019009009009009,0,0.662047521773528,0.0422400076031415,1.16379279936952e-12
