"","condition","fitted","beta","gamma","delta","value"
"1","peaked","all",0.441215465249903,0.21817618846674,1e-07,0.0040869227394441
"2","peaked","two",0.390273845423474,0.475386223878526,NA,0.00472440510755922
"3","peaked","beta",0.265419120812803,NA,NA,0.00547523373551315
"4","peaked","gamma",NA,9.99999999473644e-08,NA,0.03772210750681
"5","uniform","all",NA,0.576452895206801,0.79453511629347,0.0190972958230392
"6","uniform","two",NA,0.389629806138198,NA,0.0204460502264079
