"","pID","beta","gamma","value","x","prior","genpost","infbeta","infgamma","infvalue"
"1",100,1e-07,0.176364726922491,0.0176013054924288,0,0.023065141003694,0,1e-07,0.176365700331057,2.00597071100202e-13
"2",100,1e-07,0.176364726922491,0.0176013054924288,0.1,0.0336967294350842,0.0438635670748478,1e-07,0.176365700331057,2.00597071100202e-13
"3",100,1e-07,0.176364726922491,0.0176013054924288,0.2,0.0415352734480584,0.0700562266096466,1e-07,0.176365700331057,2.00597071100202e-13
"4",100,1e-07,0.176364726922491,0.0176013054924288,0.3,0.0709973871519957,0.0910844350479241,1e-07,0.176365700331057,2.00597071100202e-13
"5",100,1e-07,0.176364726922491,0.0176013054924288,0.4,0.100459500855933,0.108586610113443,1e-07,0.176365700331057,2.00597071100202e-13
"6",100,1e-07,0.176364726922491,0.0176013054924288,0.5,0.121452383097576,0.123077180450726,1e-07,0.176365700331057,2.00597071100202e-13
"7",100,1e-07,0.176364726922491,0.0176013054924288,0.6,0.120641499234165,0.134569037302182,1e-07,0.176365700331057,2.00597071100202e-13
"8",100,1e-07,0.176364726922491,0.0176013054924288,0.7,0.121001892062348,0.142606252908214,1e-07,0.176365700331057,2.00597071100202e-13
"9",100,1e-07,0.176364726922491,0.0176013054924288,0.8,0.124876114965312,0.145879148346489,1e-07,0.176365700331057,2.00597071100202e-13
"10",100,1e-07,0.176364726922491,0.0176013054924288,0.9,0.122803856203262,0.140277542146527,1e-07,0.176365700331057,2.00597071100202e-13
"11",100,1e-07,0.176364726922491,0.0176013054924288,1,0.119470222542571,0,1e-07,0.176365700331057,2.00597071100202e-13
"12",108,0.490289294292252,8.61531310774345,0.132133303176386,0,0.0191943768586104,0,0.490304698219288,8.61509726279316,1.60774812927438e-12
"13",108,0.490289294292252,8.61531310774345,0.132133303176386,0.1,0.0191943768586104,5.17151067552062e-27,0.490304698219288,8.61509726279316,1.60774812927438e-12
"14",108,0.490289294292252,8.61531310774345,0.132133303176386,0.2,0.0191943768586104,4.43397355185191e-17,0.490304698219288,8.61509726279316,1.60774812927438e-12
"15",108,0.490289294292252,8.61531310774345,0.132133303176386,0.3,0.0191943768586104,1.64247832288622e-11,0.490304698219288,8.61509726279316,1.60774812927438e-12
"16",108,0.490289294292252,8.61531310774345,0.132133303176386,0.4,0.0191943768586104,8.79584227263381e-08,0.490304698219288,8.61509726279316,1.60774812927438e-12
"17",108,0.490289294292252,8.61531310774345,0.132133303176386,0.5,0.0191943768586104,3.99711485231577e-05,0.490304698219288,8.61509726279316,1.60774812927438e-12
"18",108,0.490289294292252,8.61531310774345,0.132133303176386,0.6,0.278363521672524,0.0102637313003334,0.490304698219288,8.61509726279316,1.60774812927438e-12
"19",108,0.490289294292252,8.61531310774345,0.132133303176386,0.7,0.0191943768586104,0.0532359871567884,0.490304698219288,8.61509726279316,1.60774812927438e-12
"20",108,0.490289294292252,8.61531310774345,0.132133303176386,0.8,0.548887086599982,0.912641886052864,0.490304698219288,8.61509726279316,1.60774812927438e-12
"21",108,0.490289294292252,8.61531310774345,0.132133303176386,0.9,0.0191943768586104,0.0238183363666436,0.490304698219288,8.61509726279316,1.60774812927438e-12
"22",108,0.490289294292252,8.61531310774345,0.132133303176386,1,0.0191943768586104,0,0.490304698219288,8.61509726279316,1.60774812927438e-12
"23",11,1e-07,1.05748481932706,0.0212187475509943,0,0.0209891000810738,0,1e-07,1.05748511010349,1.73311619761871e-15
"24",11,1e-07,1.05748481932706,0.0212187475509943,0.1,0.0240518872173678,0.000191213433025055,1e-07,1.05748511010349,1.73311619761871e-15
"25",11,1e-07,1.05748481932706,0.0212187475509943,0.2,0.0270245923790649,0.00316784545833022,1e-07,1.05748511010349,1.73311619761871e-15
"26",11,1e-07,1.05748481932706,0.0212187475509943,0.3,0.0360327898387533,0.0152859952539822,1e-07,1.05748511010349,1.73311619761871e-15
"27",11,1e-07,1.05748481932706,0.0212187475509943,0.4,0.0330600846770561,0.0438512294873109,1e-07,1.05748511010349,1.73311619761871e-15
"28",11,1e-07,1.05748481932706,0.0212187475509943,0.5,0.057021889919827,0.0929334993756416,1e-07,1.05748511010349,1.73311619761871e-15
"29",11,1e-07,1.05748481932706,0.0212187475509943,0.6,0.0953067291235024,0.158716948099692,1e-07,1.05748511010349,1.73311619761871e-15
"30",11,1e-07,1.05748481932706,0.0212187475509943,0.7,0.153950094586073,0.224741548911592,1e-07,1.05748511010349,1.73311619761871e-15
"31",11,1e-07,1.05748481932706,0.0212187475509943,0.8,0.276281416088641,0.257496902488616,1e-07,1.05748511010349,1.73311619761871e-15
"32",11,1e-07,1.05748481932706,0.0212187475509943,0.9,0.186199441491758,0.203614817491809,1e-07,1.05748511010349,1.73311619761871e-15
"33",11,1e-07,1.05748481932706,0.0212187475509943,1,0.0900819745968831,0,1e-07,1.05748511010349,1.73311619761871e-15
"34",111,0.9999999,2.4737955558639,0.00590423875721984,0,0.0100009009820705,0,0.9999999,2.47379321798111,1.72952490731538e-14
"35",111,0.9999999,2.4737955558639,0.00590423875721984,0.1,0.0251373997657447,1.80612027564693e-09,0.9999999,2.47379321798111,1.72952490731538e-14
"36",111,0.9999999,2.4737955558639,0.00590423875721984,0.2,0.0314442742589423,1.60758386783047e-06,0.9999999,2.47379321798111,1.72952490731538e-14
"37",111,0.9999999,2.4737955558639,0.00590423875721984,0.3,0.0251373997657447,5.10443082672495e-05,0.9999999,2.47379321798111,1.72952490731538e-14
