"","pID","condition","e0","e10","e20","e30","e40","e50","e60","e70","e80","e90","e100","age","gender","botCheck","actuallyEstimated","beta","value","gamma"
"76","276","peaked",0.0120731597441211,0.0120731597441211,0.174159834219299,0.0120731597441211,0.00900982070456798,0.00955040994684206,0.01856023065141,0.0102711956032075,0.716280746013154,0.0120731597441211,0.0138751238850347,25,"male",1,1,NA,0.0602914607979186,3.81558199559099
"77","277","peaked",0.0135135135135135,0.0135135135135135,0.0135135135135135,0.0135135135135135,0.0135135135135135,0.0135135135135135,0.0135135135135135,0.0990990990990991,0.615945945945946,0.176846846846847,0.0135135135135135,20,"male",1,1,NA,0.0355737588317266,0.613767492028362
"78","278","peaked",0.00900819745968832,0.0180163949193766,0.0297270516169714,0.0373840194577065,0.049364922079092,0.0711647599315377,0.080172957391226,0.107197549770291,0.526258895594991,0.0626970543194307,0.00900819745968832,18,"male",1,1,NA,0.0198483379573611,1e-07
"79","280","peaked",0.00991080277502478,0.00928011532570502,0.0118028651229841,0.0113523740877557,0.0109919812595729,0.0098207045679791,0.110100009009821,0.226777187133976,0.493738174610325,0.0970357689881971,0.00919001711865934,23,"male",1,1,NA,0.0217506260582241,1e-07
"80","281","peaked",0.00928178787059566,0.00928178787059566,0.00928178787059566,0.00928178787059566,0.00928178787059566,0.00928178787059566,0.00928178787059566,0.188339190772281,0.728124718392358,0.00928178787059566,0.00928178787059566,30,"male",1,1,NA,0.00175441695297456,2.23631630304148
"81","286","peaked",0.0732432432432432,0.0257657657657658,0.0243243243243243,0.0233333333333333,0.0488288288288288,0.0308108108108108,0.0222522522522523,0.0313513513513513,0.672972972972973,0.0248648648648649,0.0222522522522523,20,"male",1,1,NA,0.0379521325067859,1.68093816927803
"82","287","peaked",0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.0581981981981982,0.066036036036036,0.140540540540541,0.621981981981982,0.0591891891891892,0.00900900900900901,18,"male",1,1,NA,0.00456862444225529,0.305357472289762
"83","288","peaked",0.0108127590556857,0.0108127590556857,0.0108127590556857,0.0108127590556857,0.0108127590556857,0.0108127590556857,0.0108127590556857,0.13714182735628,0.646062353577221,0.131735447828438,0.00937105784826095,20,"male",1,1,NA,0.0170184663370812,0.970696154426567
"84","289","peaked",0.0119852212309633,0.0119852212309633,0.0119852212309633,0.0119852212309633,0.0119852212309633,0.0137875101378751,0.152834099306119,0.72298819500766,0.0294674236280076,0.00901144453455889,0.0119852212309633,21,"male",1,1,NA,0.610535145613522,1e-07
"85","290","peaked",0.027027027027027,0.027027027027027,0.027027027027027,0.0275675675675676,0.027027027027027,0.027027027027027,0.027027027027027,0.027027027027027,0.729189189189189,0.027027027027027,0.027027027027027,19,"male",1,1,NA,0.0275353617855242,3.75452908685463
"86","292","peaked",0.012341230519773,0.0151337717322764,0.00900819745968832,0.00900819745968832,0.00900819745968832,0.0442302495270696,0.0595441852085398,0.026213854607693,0.727051616971444,0.040086478695613,0.0483740203585263,18,"male",1,1,NA,0.0292902948899806,3.10289580586795
"87","293","peaked",0.046679282689015,0.0453275660088312,0.0453275660088312,0.0453275660088312,0.0453275660088312,0.0453275660088312,0.0453275660088312,0.545372623231504,0.0453275660088312,0.0453275660088312,0.0453275660088312,21,"male",1,1,NA,0.441828401838359,9.99999999473644e-08
"88","294","peaked",0.00900982070456798,0.0270294621137039,0.0300027029462114,0.0330660419857645,0.0420758626903325,0.0660419857644833,0.102081268582755,0.141454185061717,0.524641859626993,0.0155869898189026,0.00900982070456798,20,"male",1,1,NA,0.015041715815249,1e-07
"89","296","peaked",0.00900982070456798,0.00900982070456798,0.00900982070456798,0.00900982070456798,0.00900982070456798,0.00900982070456798,0.00900982070456798,0.468420578430489,0.409135958194432,0.050364897738535,0.00900982070456798,42,"male",1,1,NA,0.119152394726632,1e-07
"90","297","peaked",0.0284684684684685,0.0284684684684685,0.0754954954954955,0.0581981981981982,0.0596396396396396,0.0284684684684685,0.0284684684684685,0.050990990990991,0.458828828828829,0.10027027027027,0.0827027027027027,30,"male",1,1,NA,0.0721806201942646,9.99999999473644e-08
"91","298","peaked",0.0111701648500135,0.00972885325646338,0.011530492748401,0.0109900009008197,0.0114404107738042,0.00918836140888208,0.0105395910278353,0.165840915232862,0.581118818124493,0.169264030267543,0.00918836140888208,18,"male",1,1,NA,0.0275066504069454,0.324930444119958
"92","299","peaked",0.00900982070456798,0.00900982070456798,0.00900982070456798,0.00900982070456798,0.00900982070456798,0.0238760248671051,0.0611766825840166,0.2325434723849,0.440940625281557,0.187404270655014,0.00900982070456798,43,"male",1,1,NA,0.0520782624329592,1e-07
"93","300","peaked",0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.900900900900901,0.018018018018018,0.00900900900900901,25,"male",1,1,NA,0.0046408130150002,13.4542407988659
"94","64","peaked",0.113482842475007,0.0195442673151401,0.0195442673151401,0.0370170224263712,0.0195442673151401,0.0195442673151401,0.0195442673151401,0.0195442673151401,0.63658470683599,0.0566513554895073,0.0389984688822841,31,"female",1,1,NA,0.0522016532391053,1.00000311815423
"95","66","peaked",0.0262185782502928,0.0262185782502928,0.0262185782502928,0.0262185782502928,0.0262185782502928,0.0262185782502928,0.0649608072799351,0.204613028200739,0.386521308225966,0.139652220920804,0.0469411658707992,27,"female",1,1,NA,0.0642841610074708,9.99999999473644e-08
"96","68","peaked",0.0183767228177642,0.0205386902080894,0.0230609854968021,0.0250427889379335,0.0219800018016395,0.0183767228177642,0.0183767228177642,0.0183767228177642,0.725340059454103,0.0921538600126115,0.0183767228177642,18,"female",1,1,NA,0.0331130045415943,3.52253065263277
"97","69","peaked",0.0121621621621622,0.0323423423423423,0.0443243243243243,0.0526126126126126,0.0611711711711712,0.0643243243243243,0.07,0.202792792792793,0.334504504504504,0.112162162162162,0.0136036036036036,21,"female",1,1,NA,0.0859024150302836,1e-07
"98","70","peaked",0.0121610665705792,0.01387262408792,0.00972885325646338,0.00972885325646338,0.00972885325646338,0.00972885325646338,0.0341410683722187,0.160616160706243,0.720835960724259,0.00972885325646338,0.00972885325646338,27,"female",1,1,NA,0.00198193965235067,2.09734208132769
