"","pID","condition","e0","e10","e20","e30","e40","e50","e60","e70","e80","e90","e100","age","gender","botCheck","actuallyEstimated","gamma","value"
"1","1","uniform",0.0294568056931808,0.0294568056931808,0.0294568056931808,0.0294568056931808,0.0294568056931808,0.0294568056931808,0.0294568056931808,0.0774704981533195,0.637149806323755,0.0497252499774795,0.0294568056931808,25,"nb",1,1,9.74586747557289,0.0281180270398056
"2","10","uniform",0.0106325464047576,0.00901063254640476,0.00973148315011714,0.0325283834925212,0.0325283834925212,0.145431609298973,0.285456839070103,0.377094972067039,0.0325283834925212,0.0325283834925212,0.0325283834925212,22,"female",1,1,0.469968613044044,0.106303987780205
"3","11","uniform",0.00900900900900901,0.0481081081081081,0.00900900900900901,0.0674774774774775,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.635135135135135,0.108288288288288,0.0869369369369369,0.00900900900900901,25,"female",1,1,1.79609510403824,0.232679532322939
"4","117","uniform",0.0928011532570502,0.00900982070456798,0.00900982070456798,0.0567618704387783,0.00900982070456798,0.00900982070456798,0.00900982070456798,0.220560410847824,0.344715740156771,0.231101901072169,0.00900982070456798,19,"male",1,1,2.81857973418012,0.0266837177894556
"5","118","uniform",0.0495495495495496,0.0495495495495496,0.457027027027027,0.097027027027027,0.0495495495495496,0.0495495495495496,0.0495495495495496,0.0495495495495496,0.0495495495495496,0.0495495495495496,0.0495495495495496,20,"male",1,1,9.99999999473644e-08,0.151295300342403
"6","119","uniform",0.0108989371284453,0.0110790848495767,0.0103584939650513,0.011529454152405,0.0111691587101423,0.0201765447667087,0.0581877139254188,0.109529814447847,0.640695370203567,0.096198883084129,0.0201765447667087,27,"male",1,1,8.947229353736,0.0163202592075758
"7","12","uniform",0.0189189189189189,0.0189189189189189,0.0189189189189189,0.0189189189189189,0.0189189189189189,0.0189189189189189,0.0189189189189189,0.0189189189189189,0.808468468468469,0.0189189189189189,0.0212612612612613,19,"female",1,1,16.3740814420669,0.0143882789939613
"8","120","uniform",0.0863140823497612,0.120371204613028,0.0700063068744932,0.0969456707811515,0.116046490674836,0.0910892873231823,0.126768177313272,0.0575727543021894,0.104243625551852,0.0558608883683215,0.0747815118479142,42,"male",1,1,9.99999998363421e-08,0.0216548925794056
"9","121","uniform",0.00900819745968832,0.0204486082334925,0.00900819745968832,0.00900819745968832,0.00900819745968832,0.161877308350599,0.15953517701108,0.15665255382398,0.339248716331862,0.117196648950545,0.00900819745968832,21,"male",1,1,1.04769327681804,0.0254000239498139
"10","123","uniform",0.025045045045045,0.0338738738738739,0.0462162162162162,0.0630630630630631,0.084054054054054,0.104954954954955,0.112342342342342,0.14963963963964,0.212432432432432,0.15036036036036,0.018018018018018,26,"male",1,1,0.345525324628517,0.00508161529427553
