"","pID","condition","e0","e10","e20","e30","e40","e50","e60","e70","e80","e90","e100","age","gender","botCheck","actuallyEstimated","beta","gamma","value"
"1","101","peaked",0.0399171021805731,0.0173905208145612,0.0173905208145612,0.0282032798702469,0.0173905208145612,0.066228149216075,0.0173905208145612,0.675527122003965,0.0545143269057488,0.0173905208145612,0.0486574157505857,62,"female",1,1,1e-07,1.2912773777004,0.304242277434865
"2","102","peaked",0.00963703503557597,0.00963703503557597,0.00963703503557597,0.00963703503557597,0.00963703503557597,0.00963703503557597,0.00963703503557597,0.100693506259569,0.812573178420247,0.00963703503557597,0.00963703503557597,18,"female",1,1,0.542899895279117,7.45510014709737,0.0023947417412468
"3","103","peaked",0.00900982070456798,0.0267591674925669,0.00900982070456798,0.0238760248671052,0.0443283178664745,0.00900982070456798,0.0165780700964051,0.00900982070456798,0.00900982070456798,0.785926660059465,0.0574826560951437,35,"female",1,1,1e-07,0.707444595768087,0.474351856170037
"4","104","peaked",0.0105376925155363,0.0105376925155363,0.0105376925155363,0.0105376925155363,0.0105376925155363,0.0105376925155363,0.0105376925155363,0.276501846347834,0.628658921012339,0.0105376925155363,0.0105376925155363,24,"female",1,1,0.851683016027512,1.08193808680641,0.011748611945803
"5","105","peaked",0.0127015584181605,0.0127015584181605,0.0303576254391496,0.0496351680028826,0.0496351680028826,0.0127015584181605,0.0919736960634177,0.639401855688677,0.0754886947121881,0.0127015584181605,0.0127015584181605,22,"female",1,1,1e-07,1.24398606939774,0.254318252521048
"6","106","peaked",0.0312528145546249,0.0312528145546249,0.0312528145546249,0.0312528145546249,0.0312528145546249,0.0312528145546249,0.0312528145546249,0.0312528145546249,0.460866432495722,0.257858236512654,0.0312528145546249,21,"female",1,1,0.212453858008244,1.27586396409602,0.0619081649678904
"7","107","peaked",0.0195442673151401,0.0195442673151401,0.0195442673151401,0.0195442673151401,0.0195442673151401,0.0195442673151401,0.0195442673151401,0.636494641087994,0.187606953075745,0.0195442673151401,0.0195442673151401,20,"female",1,1,1e-07,2.29970423416676,0.217355402417478
"8","108","peaked",0.022518465141416,0.0144118176905062,0.0144118176905062,0.0144118176905062,0.0144118176905062,0.0144118176905062,0.0380111691587101,0.107007746352009,0.731579895514322,0.0144118176905062,0.0144118176905062,22,"female",1,1,0.874082163588309,3.09931066513674,0.00753523107037126
"9","110","peaked",0.0297297297297297,0.0297297297297297,0.0297297297297297,0.0297297297297297,0.0297297297297297,0.276576576576577,0.0297297297297297,0.0297297297297297,0.455855855855856,0.0297297297297297,0.0297297297297297,49,"female",1,1,0.615302124615214,1e-07,0.0616116501892932
"10","112","peaked",0.0181064768939735,0.0556706603008738,0.0301774614899559,0.0096387712818665,0.0096387712818665,0.0096387712818665,0.0581028736149896,0.724349157733537,0.0096387712818665,0.0435996757048914,0.0314386091343122,19,"female",1,1,1e-07,1.3663194405513,0.358151351471063
"11","113","peaked",0.0105376925155363,0.0105376925155363,0.0105376925155363,0.0105376925155363,0.0105376925155363,0.0105376925155363,0.0490858326578402,0.276501846347834,0.588129334414122,0.012248941727461,0.0108078897595245,22,"female",1,1,0.715421172118926,0.954410156649828,0.0106972834142207
"12","114","peaked",0.0116216216216216,0.00954954954954955,0.011981981981982,0.0110810810810811,0.01,0.0114414414414414,0.0726126126126126,0.118648648648649,0.63045045045045,0.103063063063063,0.00954954954954955,34,"female",1,1,0.470172859389407,2.20472204968718,0.00899425804574604
"13","115","peaked",0.00927844338347896,0.0205386902080894,0.588235294117647,0.0483740203585263,0.0669309071254842,0.136924601387262,0.0205386902080894,0.0567516439960364,0.0205386902080894,0.0205386902080894,0.0113503287992073,51,"female",1,1,1e-07,9.99999999473644e-08,0.27018502257183
"14","116","peaked",0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.0595495495495495,0.165135135135135,0.264954954954955,0.447297297297297,0.00900900900900901,19,"female",1,1,1e-07,1.7070925875462,0.0741143023991193
"15","2","peaked",0.0209928822416434,0.0742409226056401,0.0209928822416434,0.0209928822416434,0.0374808541310028,0.0687449319758537,0.0863140823497612,0.0209928822416434,0.464095864492297,0.0691954230110821,0.11595639246779,21,"secret",1,1,0.619787008698495,1e-07,0.0393456100287763
"16","208","peaked",0.0204467663484057,0.022248243559719,0.0204467663484057,0.0204467663484057,0.0204467663484057,0.0204467663484057,0.0204467663484057,0.0337776977121239,0.712394163213835,0.0884525310754819,0.0204467663484057,60,"male",1,1,0.221752950595835,7.42710882465716,0.0243358209677222
"17","209","peaked",0.0118007386721917,0.0156742635798577,0.0255832807855148,0.0305377893883434,0.0311683632105216,0.0535086929105486,0.0857580398162328,0.167102062877218,0.499054139266733,0.0681019727952437,0.0117106566975948,23,"male",1,1,0.672384884427799,0.137303643895823,0.00166415938783312
"18","210","peaked",0.00963703503557597,0.00963703503557597,0.00963703503557597,0.00963703503557597,0.00963703503557597,0.00963703503557597,0.00963703503557597,0.00963703503557597,0.727641178059984,0.185625506619832,0.00963703503557597,18,"male",1,1,0.152904366713112,8.20759263766539,0.0427202066625609
"19","211","peaked",0.018018018018018,0.018018018018018,0.018018018018018,0.018018018018018,0.0201801801801802,0.018018018018018,0.0188288288288288,0.018018018018018,0.816846846846847,0.018018018018018,0.018018018018018,28,"male",1,1,0.1712886903783,12.9736974555633,0.0129995167188154
"20","212","peaked",0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.354234234234234,0.453603603603604,0.12009009009009,0.00900900900900901,0.00900900900900901,18,"male",1,1,1e-07,0.974807996435242,0.155717019564465
"21","213","peaked",0.0156799134901325,0.0156799134901325,0.0156799134901325,0.0156799134901325,0.0156799134901325,0.0683067495719564,0.132468234658016,0.183743354059656,0.428043615391547,0.0970532576371992,0.0119852212309633,28,"male",1,1,0.333742468137523,0.584454931386429,0.00210569462566926
"22","214","peaked",0.0107168587896254,0.0107168587896254,0.0107168587896254,0.0107168587896254,0.0107168587896254,0.0107168587896254,0.0107168587896254,0.0107168587896254,0.728025936599424,0.175522334293948,0.0107168587896254,19,"male",1,1,0.155938329836324,8.26471306277976,0.0400721147822749
"23","215","peaked",0.0117106566975948,0.0108999189262229,0.0118908206467886,0.0122511485451761,0.0102693451040447,0.0422484460859382,0.273849202774525,0.364201423295199,0.183136654355463,0.0692730384650031,0.0102693451040447,22,"male",1,1,1e-07,1.03970151139304,0.0604129426689698
"24","216","peaked",0.0219859434132276,0.0219859434132276,0.0219859434132276,0.0219859434132276,0.0118940349612543,0.0342404036763381,0.32501351594882,0.308433952063435,0.188502432870788,0.0219859434132276,0.0219859434132276,23,"male",1,1,1e-07,0.851872637818338,0.0775809633247494
"25","217","peaked",0.00936768149882904,0.011259232570708,0.011259232570708,0.0119798234552333,0.0216177265357593,0.0482795892631958,0.0905242298684922,0.139884705458476,0.542514862186993,0.103584939650513,0.0097279769410917,21,"male",1,1,0.528899141503485,0.746197312023173,0.00487147425572792
"26","218","peaked",0.0134234234234234,0.012972972972973,0.00990990990990991,0.0107207207207207,0.011981981981982,0.031981981981982,0.059009009009009,0.0564864864864865,0.726666666666667,0.0572972972972973,0.00954954954954955,18,"male",1,1,0.400267724854428,5.78145648734162,0.0172684995417605
"27","219","peaked",0.00900819745968832,0.00900819745968832,0.00900819745968832,0.180254031168363,0.00900819745968832,0.00900819745968832,0.396630934150077,0.341140437798397,0.0189172146653455,0.00900819745968832,0.00900819745968832,28,"male",1,1,1e-07,0.319207369627872,0.174024888321737
"28","220","peaked",0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.100630630630631,0.181081081081081,0.557297297297297,0.0979279279279279,0.00900900900900901,19,"male",1,1,0.379609761206493,1.59918427987802,0.00246964230129609
"29","221","peaked",0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.0615315315315315,0.0671171171171171,0.178828828828829,0.454864864864865,0.183603603603604,0.00900900900900901,18,"male",1,1,0.17169074754703,1.60629808830433,0.00598260217579514
"30","222","peaked",0.0121632579511668,0.0121632579511668,0.0121632579511668,0.252184881520858,0.0121632579511668,0.0121632579511668,0.0121632579511668,0.638345796918641,0.0121632579511668,0.0121632579511668,0.0121632579511668,18,"male",1,1,1e-07,0.336500541113763,0.344323355807978
"31","223","peaked",0.0102684201044857,0.0102684201044857,0.0102684201044857,0.0102684201044857,0.0102684201044857,0.0102684201044857,0.0559358674112772,0.112772473428211,0.640605296343001,0.12006845613403,0.00900738605656638,18,"male",1,1,0.354691593880392,3.16355080634355,0.0105454766703506
"32","224","peaked",0.0117106566975948,0.0117106566975948,0.00990901720565715,0.00972885325646338,0.00945860733267273,0.011530492748401,0.0096387712818665,0.190433294297811,0.526619223493379,0.193676245383299,0.0155841816052608,35,"male",1,1,0.0374275428070534,4.68939053112879,0.00831287854761358
"33","225","peaked",0.00990901720565715,0.0118908206467886,0.0112602468246104,0.00900819745968832,0.00999909918025403,0.0510764795964328,0.0630573822178182,0.0663904152779029,0.636969642374561,0.114404107738042,0.0160345914782452,23,"male",1,1,0.60403314391278,1.58807561577556,0.0220655799525693
"34","226","peaked",0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.0868468468468468,0.120810810810811,0.153243243243243,0.524954954954955,0.0600900900900901,0.00900900900900901,29,"male",1,1,0.759252466642731,0.0981283288631958,0.00284572936068287
"35","227","peaked",0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.372522522522523,0.546396396396396,0.00900900900900901,0.00900900900900901,0.00900900900900901,19,"male",1,1,1e-07,0.828857086293391,0.255337708880949
"36","229","peaked",0.00900819745968832,0.00900819745968832,0.00900819745968832,0.00900819745968832,0.00900819745968832,0.00900819745968832,0.0781010719754977,0.123862715070714,0.595171606161607,0.139807224574363,0.00900819745968832,24,"male",1,1,0.332957840512268,2.34723117810268,0.0104648306339309
"37","230","peaked",0.00900819745968832,0.00900819745968832,0.0462120529682011,0.07629943248356,0.0968381226916494,0.135122961895325,0.35519322583551,0.245293216827313,0.00900819745968832,0.00900819745968832,0.00900819745968832,20,"male",1,1,1e-07,0.224263441827906,0.0970709119236394
