"","pID","condition","e0","e10","e20","e30","e40","e50","e60","e70","e80","e90","e100","age","gender","botCheck","actuallyEstimated"
"41","53","uniform",0.0678,0.0203,0.0678,0.0203,0.0203,0.0291,0.0203,0.693,0.0203,0.0203,0.0203,21,"female",1,1
"42","55","uniform",0.0127,0.0127,0.0127,0.0127,0.0127,0.0877,0.1803,0.2692,0.3735,0.0127,0.0127,24,"female",1,1
"43","56","uniform",0.015,0.015,0.015,0.015,0.015,0.465,0.015,0.015,0.4,0.015,0.015,23,"female",1,1
"44","57","uniform",0.0163,0.0163,0.0163,0.0163,0.1383,0.5955,0.1357,0.0163,0.0163,0.0163,0.0163,21,"female",1,1
"45","58","uniform",0,0,0,0,0.0534,0.0575,0.1976,0.3675,0.218,0.106,0,35,"female",1,1
"46","59","uniform",0.0099,0.0973,0.1376,0.1608,0.1423,0.0922,0.0913,0.099,0.0664,0.0508,0.0524,23,"female",1,1
"47","60","uniform",0.1252,0.1854,0.1825,0.1708,0.2036,0.09,0.02,0.0225,0,0,0,23,"female",1,1
"48","62","uniform",0.0933,0.0307,0.0591,0.1169,0.0916,0.1223,0.0938,0.1174,0.0708,0.1007,0.1033,19,"female",1,1
"49","63","uniform",0.7864,0,0.0568,0,0.0667,0.0254,0.0188,0,0.0089,0,0.037,46,"female",1,1
"50","117","uniform",0.093,0,0,0.053,0,0,0,0.2348,0.3726,0.2465,0,19,"male",1,1
"51","118","uniform",0.045,0.045,0.4973,0.0977,0.045,0.045,0.045,0.045,0.045,0.045,0.045,20,"male",1,1
"52","119","uniform",0.0021,0.0023,0.0015,0.0028,0.0024,0.0124,0.0546,0.1116,0.7013,0.0968,0.0124,27,"male",1,1
"53","120","uniform",0.0858,0.1236,0.0677,0.0976,0.1188,0.0911,0.1307,0.0539,0.1057,0.052,0.073,42,"male",1,1
"54","121","uniform",0,0.0127,0,0,0,0.1697,0.1671,0.1639,0.3666,0.1201,0,21,"male",1,1
"55","123","uniform",0.0178,0.0276,0.0413,0.06,0.0833,0.1065,0.1147,0.1561,0.2258,0.1569,0.01,26,"male",1,1
"56","124","uniform",0.0018,0.0135,0.0135,0.0135,0.0135,0.039,0.0926,0.2422,0.3133,0.2567,4e-04,28,"male",1,1
"57","125","uniform",0,0.01,0.02,0.0267,0.0348,0.0937,0.1574,0.2063,0.2462,0.205,0,24,"male",1,1
