"","pID","condition","e0","e10","e20","e30","e40","e50","e60","e70","e80","e90","e100","age","gender","botCheck","actuallyEstimated"
"177","177","uniform",0.00900900900900901,0.00936936936936937,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.909549549549549,0.00900900900900901,0.00900900900900901,30,"male",1,1
"178","178","uniform",0.0110840767775074,0.0110840767775074,0.0939893664954492,0.0110840767775074,0.0110840767775074,0.63206271965396,0.185275299630531,0.0110840767775074,0.0110840767775074,0.0110840767775074,0.0110840767775074,24,"male",1,1
"179","179","uniform",0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.235405405405405,0.683513513513514,0.00900900900900901,0.00900900900900901,33,"male",1,1
"180","180","uniform",0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.908468468468469,0.0104504504504505,0.00900900900900901,37,"male",1,1
"181","181","uniform",0.0390990990990991,0.0390990990990991,0.0390990990990991,0.0390990990990991,0.0390990990990991,0.0390990990990991,0.205765765765766,0.358918918918919,0.122522522522523,0.0390990990990991,0.0390990990990991,35,"male",1,1
"182","183","uniform",0.00900819745968832,0.00900819745968832,0.00900819745968832,0.00900819745968832,0.00900819745968832,0.0381947572290785,0.0980091883614089,0.258805513016845,0.541933159174849,0.00900819745968832,0.00900819745968832,19,"male",1,1
"183","184","uniform",0.0092809515227969,0.0092809515227969,0.0092809515227969,0.0092809515227969,0.0092809515227969,0.0285637051721031,0.0617228329428726,0.160659578302397,0.448729500810957,0.244638673634889,0.0092809515227969,30,"male",1,1
"184","185","uniform",0.00936683779158786,0.00936683779158786,0.00936683779158786,0.00936683779158786,0.00936683779158786,0.00936683779158786,0.00936683779158786,0.0094569035395839,0.906241556336125,0.00936683779158786,0.00936683779158786,26,"male",1,1
"185","188","uniform",0.0136924601387262,0.0114404107738042,0.00999909918025403,0.00990901720565715,0.139176650752184,0.173858210971985,0.0113503287992073,0.351409782902441,0.00918836140888208,0.175029276641744,0.0949464012251148,25,"male",1,1
"186","189","uniform",0.0273046769397134,0.0273046769397134,0.0273046769397134,0.0273046769397134,0.0273046769397134,0.0297377669640443,0.0273046769397134,0.0273046769397134,0.724520140578535,0.0273046769397134,0.0273046769397134,25,"male",1,1
"187","190","uniform",0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.0920720720720721,0.322702702702703,0.513153153153153,0.00900900900900901,0.00900900900900901,23,"male",1,1
"188","192","uniform",0.0801801801801802,0.131171171171171,0.0418918918918919,0.0668468468468468,0.0510810810810811,0.0759459459459459,0.176936936936937,0.1,0.082972972972973,0.105675675675676,0.0872972972972973,28,"male",1,1
"189","195","uniform",0.0276501846347834,0.0276501846347834,0.0276501846347834,0.0276501846347834,0.0276501846347834,0.0276501846347834,0.0289111051067279,0.0276501846347834,0.722237233180222,0.0276501846347834,0.0276501846347834,22,"male",1,1
"190","196","uniform",0.0119787444834729,0.0101774295235522,0.0685400342249842,0.0685400342249842,0.0685400342249842,0.0685400342249842,0.0685400342249842,0.0685400342249842,0.456002882103936,0.0420607043141493,0.0685400342249842,25,"male",1,1
"191","197","uniform",0.0100891811548509,0.112602468246104,0.107918205567066,0.113503287992073,0.0992703360057652,0.122871813350149,0.114674353661832,0.106476893973516,0.100981893523106,0.0958472209710837,0.0157643455544546,23,"male",1,1
"192","20","uniform",0.0138751238850347,0.0138751238850347,0.0138751238850347,0.0138751238850347,0.0138751238850347,0.123704838273718,0.166591584827462,0.375889719794576,0.20082890350482,0.0497342102892152,0.0138751238850347,25,"female",1,1
"193","200","uniform",0.0116216216216216,0.0337837837837838,0.0866666666666667,0.117207207207207,0.146576576576577,0.150630630630631,0.135405405405405,0.131711711711712,0.114684684684685,0.0379279279279279,0.0337837837837838,26,"male",1,1
"194","202","uniform",0.0166666666666667,0.0446846846846847,0.0603603603603604,0.0685585585585586,0.0796396396396396,0.0914414414414414,0.117927927927928,0.15972972972973,0.185765765765766,0.157657657657658,0.0175675675675676,20,"male",1,1
"195","203","uniform",0.00900900900900901,0.0145945945945946,0.0645945945945946,0.018018018018018,0.0271171171171171,0.0878378378378378,0.123603603603604,0.175135135135135,0.373153153153153,0.0979279279279279,0.00900900900900901,23,"male",1,1
"196","204","uniform",0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.154954954954955,0.591891891891892,0.181081081081081,0.00900900900900901,20,"male",1,1
"197","205","uniform",0.0571171171171171,0.0604504504504505,0.0855855855855856,0.0909009009009009,0.11009009009009,0.12963963963964,0.152072072072072,0.125675675675676,0.104954954954955,0.0454054054054054,0.0381081081081081,36,"male",1,1
"198","206","uniform",0.0108989371284453,0.0118897495946676,0.114123581336696,0.217798594847775,0.0116195280129706,0.0875517924698253,0.454152404972077,0.0229688344442443,0.0457575211673572,0.0116195280129706,0.0116195280129706,27,"male",1,1
"199","207","uniform",0.00900900900900901,0.0195495495495495,0.00900900900900901,0.0495495495495495,0.103513513513513,0.147747747747748,0.304054054054054,0.194414414414414,0.145135135135135,0.00900900900900901,0.00900900900900901,25,"male",1,1
"200","23","uniform",0.0297324083250743,0.0263086764573385,0.0691954230110821,0.0865843769708983,0.0313541760518966,0.0263086764573385,0.456167222272277,0.0710874853590414,0.0708171907379043,0.0643301198306154,0.0681142445265339,20,"female",1,1
"201","24","uniform",0.0290938569627094,0.0392722032066294,0.041794271302468,0.0567465321563682,0.0858403891190776,0.102504053323725,0.149072239236174,0.201765447667087,0.159700954782922,0.124031705998919,0.01017834624392,20,"female",1,1
"202","25","uniform",0.00972972972972973,0.0777477477477477,0.0726126126126126,0.0785585585585585,0.134774774774775,0.156306306306306,0.156396396396396,0.101351351351351,0.0977477477477477,0.0782882882882883,0.0364864864864865,31,"female",1,1
"203","26","uniform",0.0107197549770291,0.0381046752544816,0.0384650031528691,0.0403567246194037,0.0363931177371408,0.0848572200702639,0.132600666606612,0.199891901630484,0.243761823259166,0.163769029817134,0.0110800828754166,19,"female",1,1
