"","section","x","y","seenRed","seenBlue"
"1","five",0,0.0100394736842105,4,1
"2","five",0.1,0.0249302631578947,4,1
"3","five",0.2,0.0281105263157895,4,1
"4","five",0.3,0.0373671052631579,4,1
"5","five",0.4,0.0692144736842105,4,1
"6","five",0.5,0.110113157894737,4,1
"7","five",0.6,0.131889473684211,4,1
"8","five",0.7,0.174214473684211,4,1
"9","five",0.8,0.293160526315789,4,1
"10","five",0.9,0.104123684210526,4,1
"11","five",1,0.0168421052631579,4,1
"12","prior",0,0.0363578947368421,0,0
"13","prior",0.1,0.0492105263157895,0,0
"14","prior",0.2,0.0763157894736842,0,0
"15","prior",0.3,0.105655263157895,0,0
"16","prior",0.4,0.157039473684211,0,0
"17","prior",0.5,0.224153947368421,0,0
"18","prior",0.6,0.123525,0,0
"19","prior",0.7,0.0967921052631579,0,0
"20","prior",0.8,0.0564447368421053,0,0
"21","prior",0.9,0.0423026315789474,0,0
"22","prior",1,0.0322131578947368,0,0
"23","unlimited",0,0.00859473684210526,17.5789473684211,4.40789473684211
"24","unlimited",0.1,0.0141276315789474,17.5789473684211,4.40789473684211
"25","unlimited",0.2,0.0245460526315789,17.5789473684211,4.40789473684211
"26","unlimited",0.3,0.028325,17.5789473684211,4.40789473684211
"27","unlimited",0.4,0.0403631578947368,17.5789473684211,4.40789473684211
"28","unlimited",0.5,0.0581947368421053,17.5789473684211,4.40789473684211
"29","unlimited",0.6,0.0770276315789474,17.5789473684211,4.40789473684211
"30","unlimited",0.7,0.173078947368421,17.5789473684211,4.40789473684211
"31","unlimited",0.8,0.44345,17.5789473684211,4.40789473684211
"32","unlimited",0.9,0.118393421052632,17.5789473684211,4.40789473684211
"33","unlimited",1,0.0139052631578947,17.5789473684211,4.40789473684211
