"","pID","beta","gamma","value","seenRed","seenBlue","x","prior","genpost","infbeta","infgamma","infvalue"
"1",100,0.9999999,0.472247190926224,0.0356047899486694,22,6,0,0.00900900900900901,0,0.9999999,0.472283354371761,9.49570725477089e-11
"2",100,0.9999999,0.472247190926224,0.0356047899486694,22,6,0.1,0.00900900900900901,3.97463459280515e-10,0.9999999,0.472283354371761,9.49570725477089e-11
"3",100,0.9999999,0.472247190926224,0.0356047899486694,22,6,0.2,0.00900900900900901,3.81847484778434e-07,0.9999999,0.472283354371761,9.49570725477089e-11
"4",100,0.9999999,0.472247190926224,0.0356047899486694,22,6,0.3,0.020990990990991,4.11543412469671e-05,0.9999999,0.472283354371761,9.49570725477089e-11
"5",100,0.9999999,0.472247190926224,0.0356047899486694,22,6,0.4,0.0420720720720721,0.00105858857486941,0.9999999,0.472283354371761,9.49570725477089e-11
"6",100,0.9999999,0.472247190926224,0.0356047899486694,22,6,0.5,0.0447747747747748,0.00682729344849409,0.9999999,0.472283354371761,9.49570725477089e-11
"7",100,0.9999999,0.472247190926224,0.0356047899486694,22,6,0.6,0.173423423423423,0.0934068278853761,0.9999999,0.472283354371761,9.49570725477089e-11
"8",100,0.9999999,0.472247190926224,0.0356047899486694,22,6,0.7,0.373513513513514,0.4416771222511,0.9999999,0.472283354371761,9.49570725477089e-11
"9",100,0.9999999,0.472247190926224,0.0356047899486694,22,6,0.8,0.30018018018018,0.450539358853717,0.9999999,0.472283354371761,9.49570725477089e-11
"10",100,0.9999999,0.472247190926224,0.0356047899486694,22,6,0.9,0.00900900900900901,0.0064492724002487,0.9999999,0.472283354371761,9.49570725477089e-11
"11",100,0.9999999,0.472247190926224,0.0356047899486694,22,6,1,0.00900900900900901,0,0.9999999,0.472283354371761,9.49570725477089e-11
"12",108,1e-07,0.128849511355587,0.104142019470994,14,4,0,0.0277502477700694,0,1e-07,0.128852701037651,8.32712691039704e-12
"13",108,1e-07,0.128849511355587,0.104142019470994,14,4,0.1,0.0346878097125867,0.00941062294321387,1e-07,0.128852701037651,8.32712691039704e-12
"14",108,1e-07,0.128849511355587,0.104142019470994,14,4,0.2,0.0542391206414992,0.030922914660842,1e-07,0.128852701037651,8.32712691039704e-12
"15",108,1e-07,0.128849511355587,0.104142019470994,14,4,0.3,0.0486530318046671,0.0599848118096787,1e-07,0.128852701037651,8.32712691039704e-12
"16",108,1e-07,0.128849511355587,0.104142019470994,14,4,0.4,0.0861338859356699,0.0930921812309152,1e-07,0.128852701037651,8.32712691039704e-12
"17",108,1e-07,0.128849511355587,0.104142019470994,14,4,0.5,0.0109919812595729,0.126741435135658,1e-07,0.128852701037651,8.32712691039704e-12
"18",108,1e-07,0.128849511355587,0.104142019470994,14,4,0.6,0.274168844040004,0.156966156062149,1e-07,0.128852701037651,8.32712691039704e-12
"19",108,1e-07,0.128849511355587,0.104142019470994,14,4,0.7,0.370483827371835,0.178721888222606,1e-07,0.128852701037651,8.32712691039704e-12
"20",108,1e-07,0.128849511355587,0.104142019470994,14,4,0.8,0.0109919812595729,0.184515034236731,1e-07,0.128852701037651,8.32712691039704e-12
"21",108,1e-07,0.128849511355587,0.104142019470994,14,4,0.9,0.07090728894495,0.159644955698207,1e-07,0.128852701037651,8.32712691039704e-12
"22",108,1e-07,0.128849511355587,0.104142019470994,14,4,1,0.0109919812595729,0,1e-07,0.128852701037651,8.32712691039704e-12
"23",11,0.312225627604709,1.56571535281333,0.0259581077588694,9,2,0,0.00900900900900901,0,0.312242674682318,1.56566629792792,2.72189004421154e-12
"24",11,0.312225627604709,1.56571535281333,0.0259581077588694,9,2,0.1,0.00900900900900901,4.11236351698491e-12,0.312242674682318,1.56566629792792,2.72189004421154e-12
"25",11,0.312225627604709,1.56571535281333,0.0259581077588694,9,2,0.2,0.00900900900900901,4.96428253739861e-08,0.312242674682318,1.56566629792792,2.72189004421154e-12
"26",11,0.312225627604709,1.56571535281333,0.0259581077588694,9,2,0.3,0.00900900900900901,9.90005979622287e-06,0.312242674682318,1.56566629792792,2.72189004421154e-12
"27",11,0.312225627604709,1.56571535281333,0.0259581077588694,9,2,0.4,0.048018018018018,0.000417637840383079,0.312242674682318,1.56566629792792,2.72189004421154e-12
"28",11,0.312225627604709,1.56571535281333,0.0259581077588694,9,2,0.5,0.0690990990990991,0.00594079670428095,0.312242674682318,1.56566629792792,2.72189004421154e-12
"29",11,0.312225627604709,1.56571535281333,0.0259581077588694,9,2,0.6,0.084054054054054,0.0407026214466912,0.312242674682318,1.56566629792792,2.72189004421154e-12
"30",11,0.312225627604709,1.56571535281333,0.0259581077588694,9,2,0.7,0.149279279279279,0.178427106580174,0.312242674682318,1.56566629792792,2.72189004421154e-12
"31",11,0.312225627604709,1.56571535281333,0.0259581077588694,9,2,0.8,0.412252252252252,0.576573015038556,0.312242674682318,1.56566629792792,2.72189004421154e-12
"32",11,0.312225627604709,1.56571535281333,0.0259581077588694,9,2,0.9,0.15018018018018,0.19792887268318,0.312242674682318,1.56566629792792,2.72189004421154e-12
"33",11,0.312225627604709,1.56571535281333,0.0259581077588694,9,2,1,0.0510810810810811,0,0.312242674682318,1.56566629792792,2.72189004421154e-12
"34",111,1e-07,0.978924174143303,0.0074873364910758,18,5,0,0.014954954954955,0,0.000205980994481774,0.978416964884299,6.57732070609404e-10
"35",111,1e-07,0.978924174143303,0.0074873364910758,18,5,0.1,0.0117117117117117,8.86506986593273e-14,0.000205980994481774,0.978416964884299,6.57732070609404e-10
