"","pID","gamma","value","x","prior","genpost","infgamma","infvalue"
"1",1,9.74586747557289,0.0281180270398056,0,0.0294568056931808,0,9.7458652503413,8.06390501462423e-15
"2",1,9.74586747557289,0.0281180270398056,0.1,0.0294568056931808,1.02500670173999e-29,9.7458652503413,8.06390501462423e-15
"3",1,9.74586747557289,0.0281180270398056,0.2,0.0294568056931808,1.76764388736971e-18,9.7458652503413,8.06390501462423e-15
"4",1,9.74586747557289,0.0281180270398056,0.3,0.0294568056931808,3.52258306863878e-12,9.7458652503413,8.06390501462423e-15
"5",1,9.74586747557289,0.0281180270398056,0.4,0.0294568056931808,5.82039128637722e-08,9.7458652503413,8.06390501462423e-15
"6",1,9.74586747557289,0.0281180270398056,0.5,0.0294568056931808,5.90406087429303e-05,9.7458652503413,8.06390501462423e-15
"7",1,9.74586747557289,0.0281180270398056,0.6,0.0294568056931808,0.00819291416618051,9.7458652503413,8.06390501462423e-15
"8",1,9.74586747557289,0.0281180270398056,0.7,0.0774704981533195,0.202125074983481,9.7458652503413,8.06390501462423e-15
"9",1,9.74586747557289,0.0281180270398056,0.8,0.637149806323755,0.708248134443991,9.7458652503413,8.06390501462423e-15
"10",1,9.74586747557289,0.0281180270398056,0.9,0.0497252499774795,0.0813747775901692,9.7458652503413,8.06390501462423e-15
"11",1,9.74586747557289,0.0281180270398056,1,0.0294568056931808,0,9.7458652503413,8.06390501462423e-15
"12",10,0.469968613044044,0.106303987780205,0,0.0106325464047576,0,0.469969066729361,1.41747725600126e-14
"13",10,0.469968613044044,0.106303987780205,0.1,0.00901063254640476,0.00781067706983635,0.469969066729361,1.41747725600126e-14
"14",10,0.469968613044044,0.106303987780205,0.2,0.00973148315011714,0.0271986407383844,0.469969066729361,1.41747725600126e-14
"15",10,0.469968613044044,0.106303987780205,0.3,0.0325283834925212,0.0547422022442977,0.469969066729361,1.41747725600126e-14
"16",10,0.469968613044044,0.106303987780205,0.4,0.0325283834925212,0.0874436976601291,0.469969066729361,1.41747725600126e-14
"17",10,0.469968613044044,0.106303987780205,0.5,0.145431609298973,0.122094041901862,0.469969066729361,1.41747725600126e-14
"18",10,0.469968613044044,0.106303987780205,0.6,0.285456839070103,0.154881878845547,0.469969066729361,1.41747725600126e-14
"19",10,0.469968613044044,0.106303987780205,0.7,0.377094972067039,0.180773548486454,0.469969066729361,1.41747725600126e-14
"20",10,0.469968613044044,0.106303987780205,0.8,0.0325283834925212,0.19204150368598,0.469969066729361,1.41747725600126e-14
"21",10,0.469968613044044,0.106303987780205,0.9,0.0325283834925212,0.173013809367509,0.469969066729361,1.41747725600126e-14
"22",10,0.469968613044044,0.106303987780205,1,0.0325283834925212,0,0.469969066729361,1.41747725600126e-14
"23",11,1.79609510403824,0.232679532322939,0,0.00900900900900901,0,1.79609524463236,1.86438615566139e-16
"24",11,1.79609510403824,0.232679532322939,0.1,0.0481081081081081,1.5423449038962e-06,1.79609524463236,1.86438615566139e-16
"25",11,1.79609510403824,0.232679532322939,0.2,0.00900900900900901,0.000181560225401712,1.79609524463236,1.86438615566139e-16
"26",11,1.79609510403824,0.232679532322939,0.3,0.0674774774774775,0.00263007573321676,1.79609524463236,1.86438615566139e-16
"27",11,1.79609510403824,0.232679532322939,0.4,0.00900900900900901,0.0157518970833388,1.79609524463236,1.86438615566139e-16
"28",11,1.79609510403824,0.232679532322939,0.5,0.00900900900900901,0.0564097554370312,1.79609524463236,1.86438615566139e-16
"29",11,1.79609510403824,0.232679532322939,0.6,0.00900900900900901,0.140011210492259,1.79609524463236,1.86438615566139e-16
"30",11,1.79609510403824,0.232679532322939,0.7,0.635135135135135,0.25277386069714,1.79609524463236,1.86438615566139e-16
"31",11,1.79609510403824,0.232679532322939,0.8,0.108288288288288,0.318487008444603,1.79609524463236,1.86438615566139e-16
"32",11,1.79609510403824,0.232679532322939,0.9,0.0869369369369369,0.213753089542106,1.79609524463236,1.86438615566139e-16
"33",11,1.79609510403824,0.232679532322939,1,0.00900900900900901,0,1.79609524463236,1.86438615566139e-16
"34",117,2.81857973418012,0.0266837177894556,0,0.0928011532570502,0,2.81857981071674,3.25510411840845e-17
"35",117,2.81857973418012,0.0266837177894556,0.1,0.00900982070456798,1.76812685282016e-09,2.81857981071674,3.25510411840845e-17
"36",117,2.81857973418012,0.0266837177894556,0.2,0.00900982070456798,3.14227461824078e-06,2.81857981071674,3.25510411840845e-17
"37",117,2.81857973418012,0.0266837177894556,0.3,0.0567618704387783,0.000208496240057146,2.81857981071674,3.25510411840845e-17
"38",117,2.81857973418012,0.0266837177894556,0.4,0.00900982070456798,0.00345941390748805,2.81857981071674,3.25510411840845e-17
"39",117,2.81857973418012,0.0266837177894556,0.5,0.00900982070456798,0.0256105123258955,2.81857981071674,3.25510411840845e-17
"40",117,2.81857973418012,0.0266837177894556,0.6,0.00900982070456798,0.106655753794412,2.81857981071674,3.25510411840845e-17
"41",117,2.81857973418012,0.0266837177894556,0.7,0.220560410847824,0.269534248282267,2.81857981071674,3.25510411840845e-17
"42",117,2.81857973418012,0.0266837177894556,0.8,0.344715740156771,0.387352540212553,2.81857981071674,3.25510411840845e-17
"43",117,2.81857973418012,0.0266837177894556,0.9,0.231101901072169,0.207175891194583,2.81857981071674,3.25510411840845e-17
"44",117,2.81857973418012,0.0266837177894556,1,0.00900982070456798,0,2.81857981071674,3.25510411840845e-17
"45",118,9.99999999473644e-08,0.151295300342403,0,0.0495495495495496,0,9.99999999473644e-08,0
