"","pID","condition","e0","e10","e20","e30","e40","e50","e60","e70","e80","e90","e100","age","gender","botCheck","actuallyEstimated","beta","value"
"1","101","peaked",0.0399171021805731,0.0173905208145612,0.0173905208145612,0.0282032798702469,0.0173905208145612,0.066228149216075,0.0173905208145612,0.675527122003965,0.0545143269057488,0.0173905208145612,0.0486574157505857,62,"female",1,1,1e-07,0.305613596842154
"2","102","peaked",0.00963703503557597,0.00963703503557597,0.00963703503557597,0.00963703503557597,0.00963703503557597,0.00963703503557597,0.00963703503557597,0.100693506259569,0.812573178420247,0.00963703503557597,0.00963703503557597,18,"female",1,1,0.9999999,0.0324886238313471
"3","103","peaked",0.00900982070456798,0.0267591674925669,0.00900982070456798,0.0238760248671052,0.0443283178664745,0.00900982070456798,0.0165780700964051,0.00900982070456798,0.00900982070456798,0.785926660059465,0.0574826560951437,35,"female",1,1,1e-07,0.477574693783386
"4","104","peaked",0.0105376925155363,0.0105376925155363,0.0105376925155363,0.0105376925155363,0.0105376925155363,0.0105376925155363,0.0105376925155363,0.276501846347834,0.628658921012339,0.0105376925155363,0.0105376925155363,24,"female",1,1,0.880377203167336,0.0117555838709084
"5","105","peaked",0.0127015584181605,0.0127015584181605,0.0303576254391496,0.0496351680028826,0.0496351680028826,0.0127015584181605,0.0919736960634177,0.639401855688677,0.0754886947121881,0.0127015584181605,0.0127015584181605,22,"female",1,1,1e-07,0.255237389705741
"6","106","peaked",0.0312528145546249,0.0312528145546249,0.0312528145546249,0.0312528145546249,0.0312528145546249,0.0312528145546249,0.0312528145546249,0.0312528145546249,0.460866432495722,0.257858236512654,0.0312528145546249,21,"female",1,1,0.250651655884618,0.0620526810217095
"7","107","peaked",0.0195442673151401,0.0195442673151401,0.0195442673151401,0.0195442673151401,0.0195442673151401,0.0195442673151401,0.0195442673151401,0.636494641087994,0.187606953075745,0.0195442673151401,0.0195442673151401,20,"female",1,1,0.0252083059744393,0.236321019688426
"8","108","peaked",0.022518465141416,0.0144118176905062,0.0144118176905062,0.0144118176905062,0.0144118176905062,0.0144118176905062,0.0380111691587101,0.107007746352009,0.731579895514322,0.0144118176905062,0.0144118176905062,22,"female",1,1,0.9999999,0.0142258794814292
"9","110","peaked",0.0297297297297297,0.0297297297297297,0.0297297297297297,0.0297297297297297,0.0297297297297297,0.276576576576577,0.0297297297297297,0.0297297297297297,0.455855855855856,0.0297297297297297,0.0297297297297297,49,"female",1,1,0.327061473895137,0.0946708947418503
"10","112","peaked",0.0181064768939735,0.0556706603008738,0.0301774614899559,0.0096387712818665,0.0096387712818665,0.0096387712818665,0.0581028736149896,0.724349157733537,0.0096387712818665,0.0435996757048914,0.0314386091343122,19,"female",1,1,1e-07,0.360861268304677
"11","113","peaked",0.0105376925155363,0.0105376925155363,0.0105376925155363,0.0105376925155363,0.0105376925155363,0.0105376925155363,0.0490858326578402,0.276501846347834,0.588129334414122,0.012248941727461,0.0108078897595245,22,"female",1,1,0.700592307666485,0.0106997931023514
"12","114","peaked",0.0116216216216216,0.00954954954954955,0.011981981981982,0.0110810810810811,0.01,0.0114414414414414,0.0726126126126126,0.118648648648649,0.63045045045045,0.103063063063063,0.00954954954954955,34,"female",1,1,0.732080682125294,0.0104458796000106
"13","115","peaked",0.00927844338347896,0.0205386902080894,0.588235294117647,0.0483740203585263,0.0669309071254842,0.136924601387262,0.0205386902080894,0.0567516439960364,0.0205386902080894,0.0205386902080894,0.0113503287992073,51,"female",1,1,1e-07,0.477972934660031
"14","116","peaked",0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.0595495495495495,0.165135135135135,0.264954954954955,0.447297297297297,0.00900900900900901,19,"female",1,1,1e-07,0.0829780605091543
"15","2","peaked",0.0209928822416434,0.0742409226056401,0.0209928822416434,0.0209928822416434,0.0374808541310028,0.0687449319758537,0.0863140823497612,0.0209928822416434,0.464095864492297,0.0691954230110821,0.11595639246779,21,"secret",1,1,0.3431852847139,0.0577745589353893
"16","208","peaked",0.0204467663484057,0.022248243559719,0.0204467663484057,0.0204467663484057,0.0204467663484057,0.0204467663484057,0.0204467663484057,0.0337776977121239,0.712394163213835,0.0884525310754819,0.0204467663484057,60,"male",1,1,0.9999999,0.0351688674036743
"17","209","peaked",0.0118007386721917,0.0156742635798577,0.0255832807855148,0.0305377893883434,0.0311683632105216,0.0535086929105486,0.0857580398162328,0.167102062877218,0.499054139266733,0.0681019727952437,0.0117106566975948,23,"male",1,1,0.397577739124938,0.00473293579475823
"18","210","peaked",0.00963703503557597,0.00963703503557597,0.00963703503557597,0.00963703503557597,0.00963703503557597,0.00963703503557597,0.00963703503557597,0.00963703503557597,0.727641178059984,0.185625506619832,0.00963703503557597,18,"male",1,1,0.9999999,0.0639716518628143
"19","211","peaked",0.018018018018018,0.018018018018018,0.018018018018018,0.018018018018018,0.0201801801801802,0.018018018018018,0.0188288288288288,0.018018018018018,0.816846846846847,0.018018018018018,0.018018018018018,28,"male",1,1,0.9999999,0.0565485169731769
"20","212","peaked",0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.354234234234234,0.453603603603604,0.12009009009009,0.00900900900900901,0.00900900900900901,18,"male",1,1,1e-07,0.155737278769713
"21","213","peaked",0.0156799134901325,0.0156799134901325,0.0156799134901325,0.0156799134901325,0.0156799134901325,0.0683067495719564,0.132468234658016,0.183743354059656,0.428043615391547,0.0970532576371992,0.0119852212309633,28,"male",1,1,0.242453912624359,0.00315544460158451
"22","214","peaked",0.0107168587896254,0.0107168587896254,0.0107168587896254,0.0107168587896254,0.0107168587896254,0.0107168587896254,0.0107168587896254,0.0107168587896254,0.728025936599424,0.175522334293948,0.0107168587896254,19,"male",1,1,0.9999999,0.0606652932795008
"23","215","peaked",0.0117106566975948,0.0108999189262229,0.0118908206467886,0.0122511485451761,0.0102693451040447,0.0422484460859382,0.273849202774525,0.364201423295199,0.183136654355463,0.0692730384650031,0.0102693451040447,22,"male",1,1,1e-07,0.0604543065887347
