"","pID","condition","section","seenRed","seenBlue","e0","e10","e20","e30","e40","e50","e60","e70","e80","e90","e100","age","gender","botCheck","time","chipsOrder","actuallyEstimated","beta","gamma","delta","value"
"1","10","estimated","posterior",4,1,0.00963790308052603,0.00963790308052603,0.031345703476851,0.00963790308052603,0.00963790308052603,0.00963790308052603,0.0416141235813367,0.0498108448928121,0.724373986669069,0.00963790308052603,0.0950279228967753,26,"female",1,351.78,22221,1,0.9999999,12.2769217273825,11.6593979809879,0.0267704357644466
"2","105","estimated","posterior",4,1,0.00900819745968832,0.0540491847581299,0.0532384469867579,0.0717953337537159,0.0628772182686244,0.0932348437077741,0.12485361679128,0.156202143950995,0.170615259886497,0.195117556976849,0.00900819745968832,42,"male",1,291.02,12222,1,1e-07,0.225644989661956,1e-07,0.00226425965993133
"3","110","estimated","posterior",4,1,0.0309009009009009,0.0735135135135135,0.0116216216216216,0.0502702702702703,0.00900900900900901,0.00900900900900901,0.106306306306306,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.682342342342342,29,"male",1,145.56,22221,1,1e-07,1e-07,0.156806351602256,0.532542442586248
"4","112","estimated","posterior",4,1,0.00900900900900901,0.0313513513513513,0.0330630630630631,0.0693693693693694,0.0900900900900901,0.108108108108108,0.125585585585586,0.148738738738739,0.177207207207207,0.196036036036036,0.0114414414414414,23,"female",1,249.28,22212,1,1e-07,0.2426613611733,1e-07,0.000549133602979013
"5","118","estimated","posterior",4,1,0.0178378378378378,0.0178378378378378,0.0178378378378378,0.0178378378378378,0.0714414414414414,0.148738738738739,0.177297297297297,0.263063063063063,0.232432432432432,0.0178378378378378,0.0178378378378378,20,"female",1,241.35,22212,1,0.0376253906327534,1.46598839256451,2.52956471792876,0.00742350502564825
"6","12","estimated","posterior",4,1,0.026749527154823,0.026749527154823,0.0275601188867874,0.026749527154823,0.026749527154823,0.026749527154823,0.026749527154823,0.026749527154823,0.026749527154823,0.731694136719805,0.026749527154823,18,"male",1,260.02,21222,1,0.651243332977327,4.55968526610281,1e-07,0.0268458149282568
"7","121","estimated","posterior",4,1,0.0330630630630631,0.0414414414414414,0.057027027027027,0.0420720720720721,0.0310810810810811,0.333603603603604,0.299459459459459,0.0764864864864865,0.0463963963963964,0.00900900900900901,0.0303603603603604,25,"male",1,182.34,22221,1,0.432922942491908,3.39606875538116,10.3560648812401,0.0243387991788513
"8","123","estimated","posterior",4,1,0.0865020724454857,0.041719228689854,0.041719228689854,0.0519913497927555,0.041719228689854,0.041719228689854,0.4541358803388,0.0601910254099838,0.0766804829699045,0.041719228689854,0.0619030455938007,22,"female",1,100.99,12222,1,0.464841008590501,7.85772263688355,20.191919872042,0.0846705296003863
"9","124","estimated","posterior",4,1,0.0104495090532384,0.0119809026213855,0.0132420502657418,0.0090982794342852,0.0124313124943699,0.0108999189262229,0.303396090442302,0.28294748220881,0.324655436447167,0.0117106566975948,0.00918836140888208,21,"male",1,152.38,12222,1,1e-07,2.71223754482483,4.16558385292977,0.0209910968720221
"10","125","estimated","posterior",4,1,0.00900982070456798,0.00900982070456798,0.00900982070456798,0.0118028651229841,0.0292819172898459,0.00900982070456798,0.0118028651229841,0.728534102171367,0.0871249662131724,0.0783854401297414,0.0170285611316335,23,"female",1,150.06,22122,1,0.892570039079365,0.464184877530189,1e-07,0.00176054625240445
"11","127","estimated","posterior",4,1,0.0110830780320779,0.0110830780320779,0.0110830780320779,0.0110830780320779,0.0110830780320779,0.0110830780320779,0.0110830780320779,0.0288340241484952,0.857902324743197,0.024599026851685,0.0110830780320779,21,"female",1,260.1,22122,1,0.9999999,17.2778443186755,15.2764521576743,0.0035893355181072
"12","128","estimated","posterior",4,1,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.0581981981981982,0.0656756756756757,0.0245045045045045,0.00900900900900901,0.0694594594594595,0.728108108108108,0.00900900900900901,0.00900900900900901,33,"female",1,303.39,12222,1,1e-07,12.2370816256596,11.7601440051576,0.0208792472634174
"13","130","estimated","posterior",4,1,0.0100009009820705,0.0505450941526264,0.0518965672583116,0.0679340481124426,0.0727993512929093,0.087215064420218,0.242994864402198,0.179115235606811,0.124966213172358,0.101180286512298,0.0113523740877557,24,"male",1,298.95,22122,1,1e-07,0.525614618796392,0.997129974236508,0.0135524699149492
"14","131","estimated","posterior",4,1,0.10072979547707,0.0288314262546175,0.636453734570682,0.0168483647175421,0.0347779079196324,0.0437877286242004,0.0677538516983512,0.0437877286242004,0.00900982070456798,0.00900982070456798,0.00900982070456798,45,"female",1,161.96,22221,1,0.746432052651955,1e-07,0.612598000088648,0.017000416585717
"15","132","estimated","posterior",4,1,0.00900819745968832,0.00900819745968832,0.00900819745968832,0.0209891000810738,0.0240518872173678,0.0387352490766598,0.0826051707053418,0.22484460859382,0.310872894333844,0.213224033870822,0.0576524637420052,32,"male",1,304.77,22122,1,1e-07,1.83595340571436,1.6962973937707,0.00742026402947692
"16","135","estimated","posterior",4,1,0.00900982070456798,0.0825299576538427,0.115866294260744,0.124515722137129,0.120821695648257,0.151995675286062,0.0961347869177403,0.0873051626272637,0.0911793855302279,0.111631678529597,0.00900982070456798,20,"female",1,229.3,21222,1,0.9999999,0.0667115091040575,0.26060550835528,0.00293873984285716
"17","14","estimated","posterior",4,1,0.00900900900900901,0.0394594594594595,0.00900900900900901,0.452882882882883,0.0508108108108108,0.124504504504505,0.0451351351351351,0.126396396396396,0.113153153153153,0.00900900900900901,0.0206306306306306,34,"male",1,296.27,21222,1,0.60282509110934,0.210534933864881,0.964304243979926,0.0345881292404587
