"","pID","condition","e0","e10","e20","e30","e40","e50","e60","e70","e80","e90","e100","age","gender","botCheck","actuallyEstimated"
"46",201,"uniform",0.0689,0.1176,0.0739,0.1529,0.1109,0.005,0.0034,0.1143,0.1563,0.1176,0.079,38,"male",1,0
"47",228,"peaked",0.1295,0.0773,0.045,0.1169,0.1727,0.1691,0.0701,0.0162,0.0288,0.0755,0.0989,29,"male",1,0
"48",233,"peaked",0.1202,0.0349,0.1027,0.095,0.0484,0.1279,0.1512,0.062,0.095,0.1085,0.0543,19,"male",0,0
"49",235,"peaked",0,0.0635,0.0137,0,0.1069,0.0653,0.5981,0,0,0.1525,0,18,"male",0,1
"50",239,"peaked",0.1027,0.0898,0.0204,0.0527,0.4615,0.0398,0.0414,0.0511,0,0.0543,0.0865,25,"male",0,1
"51",250,"peaked",0.1937,0.0117,0.0665,0.1546,0.0646,0.1135,0.0802,0.1194,0.0274,0.1566,0.0117,28,"male",1,0
"52",252,"peaked",0.0019,0.1788,0.0223,0.1453,0.0726,0.0894,0.1024,0.1527,0.0503,0.1546,0.0298,20,"male",1,0
"53",260,"peaked",0.1464,0.0906,0.0347,0.0809,0.1175,0.0366,0.0655,0.0597,0.0886,0.1387,0.1407,30,"male",1,0
"54",265,"peaked",0.087,0.0167,0.0389,0.0796,0.087,0.1704,0.1685,0.1593,0.0204,0.0167,0.1556,23,"male",1,0
"55",279,"peaked",0,0,0,0,0,0,0.0489,0.1985,0.5004,0.2521,0,22,"male",0,1
"56",282,"peaked",0.1477,0.0958,0.1138,0.0279,0.1078,0.1238,0.0978,0.0459,0.0739,0.006,0.1597,19,"male",1,0
"57",283,"peaked",0.0229,0.1261,0.0774,0.0458,0.0172,0.1777,0.1404,0.2837,0.0287,0.0201,0.0602,20,"male",1,0
"58",284,"peaked",0.1106,0.1168,0.1137,0.0109,0.0779,0.014,0.0031,0.148,0.1075,0.148,0.1495,18,"male",1,0
"59",285,"peaked",0.1354,0.1465,0.0557,0.0557,0.1051,0.0398,0.1226,0.1226,0.0701,0.0908,0.0557,22,"male",1,0
"60",291,"peaked",0.0769,0.1667,0.0549,0.0293,0.0751,0.0714,0.1282,0.0568,0.1575,0.1007,0.0824,47,"male",1,0
"61",295,"peaked",0.0647,0.11,0.0285,0.0906,0.1229,0.1125,0.0298,0.1268,0.097,0.1203,0.097,26,"male",1,0
