"","section","fitted","beta","gamma","delta","value"
"1","unlimited","all",1e-07,0.621244071260201,0.610294872691644,0.0232646813629042
"2","unlimited","two",1e-07,0.616450706770303,NA,0.0233557277431315
"3","unlimited","beta",1e-07,NA,NA,0.0307076668703803
"4","unlimited","gamma",NA,0.832258193979092,NA,0.0539841521631427
"5","five","all",1e-07,0.746145032119415,0.964323671717471,0.0143755137793216
"6","five","two",1e-07,0.550110079864002,NA,0.0158911341615387
"7","five","beta",0.23903875067586,NA,NA,0.0181059795261199
"8","five","gamma",NA,1.61898956877559,NA,0.0307632304430078
